correct_sentence,gt
আজ মনে হচ্ছে আমার বেঁচে থাকা সার্থক,আজ মনে হচ্ছে আমার বেঁচে থাকা সার্থক
মধ্যরাতে হোটেলের জানালায় বৃষ্টির মতো ঢিল পড়তে লাগল,মধ্যরাতে হোটেলের জানালায় বৃষ্টির মতো ঢিল পড়তে লাগল
এ নিয়ে উভয় পক্ষের মধ্যে কথা-কাটাকাটি হয়,এ নিয়ে উভয় পক্ষের মধ্যে কথা-কাটাকাটি হয়
"হাসপাতাল সূত্রে জানা গেছে, চার বছর ধরে জেনারেটরের জন্য তেলের বরাদ্দ পাওয়া যায়নি","হাসপাতাল সূত্রে জানা গেছে, চার বছর ধরে জেনারেটরের জন্য তেলের বরাদ্দ পাওয়া যায়নি"
বাংলাদেশের মতো মধ্য আয়ের দেশও এর ব্যতিক্রম নয়,বাংলাদেশের মতো মধ্য আয়ের দেশও এর ব্যতিক্রম নয়
কম্ব্যাট ড্রোন গবেষণায় পিছিয়ে নেই চীনও,কম্ব্যাট ড্রোন গবেষণায় পিছিয়ে নেই চীনও
নবম ওভারে পোলার্ডের সঙ্গে জুটি বাঁধেন সাকিব,নবম ওভারে পোলার্ডের সঙ্গে জুটি বাঁধেন সাকিব
"যেমন বিশ্ববিদ্যালয়ের ক্লাসে বা বন্ধুদের আড্ডায় জিনস-কুর্তায় অভ্যস্ত মেয়েটি যখন শাড়িতে সেজে ওঠে, তখন তার পুরো অবয়বে আসে আমূল পরিবর্তন","যেমন বিশ্ববিদ্যালয়ের ক্লাসে বা বন্ধুদের আড্ডায় জিনস-কুর্তায় অভ্যস্ত মেয়েত◌ী যখন শাড়িতে সেজে ওঠে, তখন তার পুরো অবয়বে আসে আমূল পরিবর্তন"
এর মধ্যে বেসরকারি ব্যবস্থাপনায় যাবেন ১ লাখ ২০ হাজার,এর মধ্যে বেসরকারি ব্যবস্থাপনায় যাবেন ১ লাখ ২০ হাজার
এমনিতেই ক্রিকেট খুব ভালো পারত না নাবিদ,এমনিতেই ক্রিকেট খুব ভালো পারত না নাবিদ
কিন্তু “বাদশাহো” ছবিতে আমার অ্যাকশন আছে,কিন্তু “বাদশাহো” ছবিতে আমার অ্যাকশন আছে
সেই নির্বাচনে জনগণ ভোটের মাধ্যমে তাদের দিন কানা রোগের চিকিৎসা দেবে,সেই নির্বাচনে জনগণ ভোটের মাধ্যমে তাদের দিন কানা রোগের চিকিৎসা দেবে
১-২০ ওয়ানস আপন এ টাইম,১-২০ ওয়ানস আপন এ টাইম
রাজধানীর কাফরুলে পুলিশের সঙ্গে কথিত বন্দুকযুদ্ধে আবদুস সালাম নামের এক যুবক নিহত হয়েছেন,রাজধানীর কাফরুলে পুলিশের সঙ্গে কথিত বন্দুকযুদ্ধে আবদুস সালাম নামের এক যুবক নিহত হয়েছেন
এসব খেয়ে ফুটবল খেলা যায়? হালুয়া-রুটি খেয়ে অনেক সময় অনুশীলনে নামতে হয়েছে,এসব খেয়ে ফুটবল খেলা যায়? হালুয়া-রুটি খেয়ে অনেক সময় অনুশীলনে নামতে হয়েছে
ওই তরুণ পুলিশের হেফাজতে রয়েছেন,ওই তরুণ পুলিশের হেফাজতে রয়েছেন
"এ ব্যাপারে কাউন্সিলর মকবুল বলেন, ‘পল্লী বিদ্যুৎ কর্তৃপক্ষ তাঁকে ডেকে নিলেও তাঁর উপস্থিতিতে কোনো মারধরের ঘটনা ঘটেনি","এ ব্যাপারে কাউন্সিলর মকবুল বলেন, ‘পল্লী বিদ্যুৎ কর্তৃপক্ষ তাঁকে ডেকে নিলেও তাঁর উপস্থিতিতে কোনো মারধরের ঘটনা ঘটেনি"
আর বলিউডের অভিনেতা রাহুল বোসকে দেখা যাবে নাট্যদলের তত্ত্বাবধায়ক চরিত্রে,আর বলিউডের অভিনেতা রাহুল বোসকে দেখা যাবে নাট্যদলের তত্ত্বাবধায়ক চরিত্রে
কুমিল্লা উন্নয়ন মডেলের পথিকৃৎ আখতার হামিদ খান তখন করাচির বস্তিতে বস্তিতে (অরঙ্গি) কাজ করছেন আর বাংলাদেশকে পলে পলে উপলব্ধি করছেন,কুমিল্লা উন্নয়ন মডেলের পথিকৃৎ আখতার হামিদ খান তখন করাচির বস্তিতে বস্তিতে (অরঙ্গি) কাজ করছেন আর বাংলাদেশকে পলে পলে উপলব্ধি করছেন
৫ বছরের জন্য যে চুক্তির অঙ্কটা ছিল ১৫০ মিলিয়ন ইউরো,৫ বছরের জন্য যে চুক্তির অঙ্কটা ছিল ১৫০ মিলিয়ন ইউরো
এর মধ্যে প্রায় সাড়ে ১৪ হাজারই ছিলেন দুর্ঘটনার শিকার,এর মধ্যে প্রায় সাড়ে ১৪ হাজারই ছিলেন দুর্ঘটনার শিকার
"কিসের এই বায়বীয় বন্ধুত্ব, তা দেশবাসীই বিচার করে দেখবেন","কিসের এই বায়বীয় বন্ধুত্ব, তা দেশবাসীই বিচার করে দেখবেন"
এ জন্য দুজনকে মুক্তি দেওয়া হয়নি,এ জন্য দুজনকে মুক্তি দেওয়া হয়নি
মূসকের ব্যাপারে এনবিআরকে দুটি বিষয় নিয়ে কাজ করতে পরামর্শ দেন প্রবীণ এই অর্থনীতিবিদ,মূসকের ব্যাপারে এনবিআরকে দুটি বিষয় নিয়ে কাজ করতে পরামর্শ দেন প্রবীণ এই অর্থনীতিবিদ
এই ফাঁক দিয়ে সাধারণ মানুষ ও অনেক সময় মোটরসাইকেল এক পাশ থেকে অন্য পাশে চলে যায়,এই ফাঁক দিয়ে সাধারণ মানুষ ও অনেক সময় মোটরসাইকেল এক পাশ থেকে অন্য পাশে চলে যায়
এই সময়টাতে ১৫-২০ হাজার টাকা আয় করেন,এই সময়টাতে ১৫-২০ হাজার টাকা আয় করেন
জেটিতে আনার সময় নিউমুরিং টার্মিনালের পাশে নৌবাহিনীর জেটিতে থাকা দুটি জাহাজকে ধাক্কা দেয় দুর্ঘটনাকবলিত জাহাজটি,জেটিতে আনার সময় নিউমুরিং টার্মিনালের পাশে নৌবাহিনীর জেটিতে থাকা দুটি জাহাজকে ধাক্কা দেয় দুর্ঘটনাকবলিত জাহাজটি
অপেক্ষা করুন,অপেক্ষা করুন
"জুয়েল ও মিলন জানায়, বাড়ি থেকে রাগ করে তারা হিলিতে আসে","জুয়েল ও মিলন জানায়, বাড়ি থেকে রাগ করে তারা হিলিতে আসে"
"নাটক শেষ হওয়ার পর মনে হয়, সময়টাই বরবাদ হলো","নাটক শেষ হওয়ার পর মনে হয়, সময়টাই বরবাদ হলো"
এ ঘটনায় অন্তত চারজন শ্রমিক আহত হয়,এ ঘটনায় অন্তত চারজন শ্রমিক আহত হয়
বর্তমানে তাঁরা কারাগারে আছেন,বর্তমানে তাঁরা কারাগারে আছেন
অনেক কিছু আড়াল করেছে,অনেক কিছু আড়াল করেছে
"শ্যামানন্দের ভাইজি সাগরিকা সরকার, তৃপ্তি সরকার ও শিউলি সরকার কেঁদে কেঁদে বলেন, তাঁদের কাকুকে তাঁরা বাবাজি বলে ডাকতেন","শ্যামানন্দের ভাইজি সাগরিকা সরকার, তৃপ্তি সরকার ও শিউলি সরকার কেঁদে কেঁদে বলেন, তাঁদের কাকুকে তাঁরা বাবাজি বলে ডাকতেন"
নির্বাচনের জন্য মাঠ চষে বেড়াচ্ছেন ৬৫ বছরের ইমরান,নির্বাচনের জন্য মাঠ চষে বেড়াচ্ছেন ৬৫ বছরের ইমরান
এইচবিও (ইন্ডিয়া)সকাল ১০-২৩ ভি ফর ভেনডেটা (নাটালি পোর্টম্যান),এইচবিও (ইন্ডিয়া)সকাল ১০-২৩ ভি ফর ভেনডেটা (নাটালি পোর্টম্যান)
"ভূমিমন্ত্রী শামসুর রহমান শরীফের এলাকা আটঘরিয়া, পূর্তমন্ত্রী মোশাররফ হোসেনের এলাকা মিরসরাই, আওয়ামী লীগের যুগ্ম সাধারণ সম্পাদক মাহবুব উল আলম হানিফের এলাকা কুষ্টিয়া সদর, তথ্য ও যোগাযোগপ্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদের এলাকা সিংড়া, সিলেট জেলা আওয়ামী লীগের সভাপতি শফিকুর রহমানের এলাকা বিশ্বনাথ, পঞ্চগড় জেলা আওয়ামী লীগের সভাপতি নূরুল ইসলাম সুজনের এলাকা আটঘরিয়ায় বিএনপি-সমর্থিত প্রার্থীরা বিজয়ী হয়েছেন","ভূমিমন্ত্রী শামসুর রহমান শরীফের এলাকা আটঘরিয়া, পূর্তমন্ত্রী মোশাররফ হোসেনের এলাকা মিরসরাই, আওয়ামী লীগের যুগ্ম সাধারণ সম্পাদক মাহবুব উল আলম হানিফের এলাকা কুষ্টিয়া সদর, তথ্য ও যোগাযোগপ্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহমেদের এলাকা সিংড়া, সিলেট জেলা আওয়ামী লীগের সভাপতি শফিকুর রহমানের এলাকা বিশ্বনাথ, পঞ্চগড় জেলা আওয়ামী লীগের সভাপতি নূরুল ইসলাম সুজনের এলাকা আটঘরিয়ায় বিএনপি-সমর্থিত প্রার্থীরা বিজয়ী হয়েছেন"
চমৎকার উদ্যোগ,চমৎকার উদ্যোগ
এনওএএর প্রতিবেদনটির পরিপ্রেক্ষিতে বৈশ্বিক উষ্ণতা বৃদ্ধি মোকাবিলায় জরুরি উদ্যোগ নেওয়ার আহ্বান জানিয়েছেন পরিবেশবিদেরা,এনওএএর প্রতিবেদনটির পরিপ্রেক্ষিতে বৈশ্বিক উষ্ণতা বৃদ্ধি মোকাবিলায় জরুরি উদ্যোগ নেওয়ার আহ্বান জানিয়েছেন পরিবেশবিদেরা
"মাটির সুরে তিনি গান করতেন, কৃত্রিমতার ধার ধারতেন না","মাটির সুরে তিনি গান করতেন, কৃত্রিমতার ধার ধারতেন না"
"আসলে যখন কোনো গ্রাহক আসে, তখন তারা ভালো থাকে","আসলে যখন কোনো গ্রাহক আসে, তখন তারা ভালো থাকে"
হিসাবে বলে এগুলো করবে বেসরকারি উদ্যোগ,হিসাবে বলে এগুলো করবে বেসরকারি উদ্যোগ
আমি আইনে দেওয়া অধিকার ও সুযোগের বিষয়টি তাঁর কাছে তুলে ধরেছি,আমি আইনে দেওয়া অধিকার ও সুযোগের বিষয়টি তাঁর কাছে তুলে ধরেছি
প্রিমিয়ার হকি লিগে অ্যাজাক্স ৩-১ গোলে ওয়ান্ডারার্সকে হারিয়েছে,প্রিমিয়ার হকি লিগে অ্যাজাক্স ৩-১ গোলে ওয়ান্ডারার্সকে হারিয়েছে
"ভাষাসৈনিকদের প্রকৃত তালিকা তৈরি, শহীদ মিনারের পাশে একটি লাইব্রেরিসহ ভাষা জাদুঘর নির্মাণের নির্দেশনা বাস্তবায়নের পদক্ষেপ ও অগ্রগতি ছয় মাসের মধ্যে আদালতে দাখিল করতে সংস্কৃতিসচিবকে নির্দেশ দেওয়া হয়েছে","ভাষাসৈনিকদের প্রকৃত তালিকা তৈরি, শহীদ মিনারের পাশে একটি লাইব্রেরিসহ ভাষা জাদুঘর নির্মাণের নির্দেশনা বাস্তবায়নের পদক্ষেপ ও অগ্রগতি ছয় মাসের মধ্যে আদালতে দাখিল করতে সংস্কৃতিসচিবকে নির্দেশ দেওয়া হয়েছে"
"একজনকে ফাইনালের শুভকামনা, আরেকজনকে দেশে ফেরার যাত্রাপথের শুভকামনা","একজনকে ফাইনালের শুভকামনা, আরেকজনকে দেশে ফেরার যাত্রাপথের শুভকামনা"
এতে দুর্ঘটনারও আশঙ্কা বেশি থাকে,এতে দুর্ঘটনারও আশঙ্কা বেশি থাকে
"সেমিফাইনাল পর্যন্ত কোপার ৩০ ম্যাচে গোল হয়েছে ৯০টি, ম্যাচপ্রতি ৩ গোল","সেমিফাইনাল পর্যন্ত কোপার ৩০ ম্যাচে গোল হয়েছে ৯০টি, ম্যাচপ্রতি ৩ গোল"
ঢাকা মেডিকেল কলেজ হাসপাতালে গতকাল শনিবার রাতে জরুরি বিভাগের ফটক বন্ধ করে বিক্ষোভ করেছেন শিক্ষানবিশ চিকিৎসকেরা,ঢাকা মেডিকেল কলেজ হাসপাতালে গতকাল শনিবার রাতে জরুরি বিভাগের ফটক বন্ধ করে বিক্ষোভ করেছেন শিক্ষানবিশ চিকিৎসকেরা
এতে থাকা ভিটামিন ও ফাইটোনিউট্রিয়েন্টস রোগ প্রতিরোধের ক্ষমতা বাড়ায়,এতে থাকা ভিটামিন ও ফাইটোনিউট্রিয়েন্টস রোগ প্রতিরোধের ক্ষমতা বাড়ায়
"মনে হচ্ছিল, আমার জীবন ছোট হয়ে আসছে","মনে হচ্ছিল, আমার জীবন ছোট হয়ে আসছে"
"সদর থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) লিয়াকত আলী জানান, নিখোঁজ দুজনকে উদ্ধারের জন্য পুলিশ কাজ শুরু করেছে","সদর থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) লিয়াকত আলী জানান, নিখোঁজ দুজনকে উদ্ধারের জন্য পুলিশ কাজ শুরু করেছে"
"আরএফএমএসের মালিকের ভাই সফিউল বাশার বলেন, ‘এক বছর আগে ভাটাটি আরেকজনের কাছ থেকে কিনেছি","আরএফএমএসের মালিকের ভাই সফিউল বাশার বলেন, ‘এক বছর আগে ভাটাটি আরেকজনের কাছ থেকে কিনেছি"
"উপজেলা নির্বাহী কর্মকর্তা (ইউএনও) জেসমিন আক্তারের সভাপতিত্বে অনুষ্ঠানে অতিথি ছিলেন জেলা প্রাথমিক শিক্ষা কর্মকর্তা বিলকিস আরা বেগম, উপজেলা পরিষদের ভাইস চেয়ারম্যান এয়ার আহম্মদ ভূঞা","উপজেলা নির্বাহী কর্মকর্তা (ইউএনও) জেসমিন আক্তারের সভাপতিত্বে অনুষ্ঠানে অতিথি ছিলেন জেলা প্রাথমিক শিক্ষা কর্মকর্তা বিলকিস আরা বেগম, উপজেলা পরিষদের ভাইস চেয়ারম্যান এয়ার আহম্মদ ভূঞা"
অন্যদিকে মুস্তাফিজকে হাতছানি দিচ্ছে নতুন আরও কিছু রেকর্ড,অন্যদিকে মুস্তাফিজকে হাতছানি দিচ্ছে নতুন আরও কিছু রেকর্ড
"মানববন্ধনে ফেনী সরকারি কলেজ, ফেনী পলিটেকনিক ইনস্টিটিউট, ফেনী কম্পিউটার ইনস্টিটিউট, আর্য সাংস্কৃতিক কেন্দ্র, পূবালী সাংস্কৃতিক কেন্দ্র, কিশোর থিয়েটার, সুবচন নাট্যগোষ্ঠী, প্রথম আলো ফেনী বন্ধুসভা, ফেনী ক্রিকেট একাডেমি, ফেনী ক্রিকেট অ্যাসোসিয়েশন, আরবান ইয়ুথ সোসাইটি, আভাস, মাহবুব উল হক পেয়ারা ফাউন্ডেশনসহ প্রায় ৩০টি সামাজিক-সাংস্কৃতিক সংগঠনের কর্মী সদস্য ও শিক্ষাপ্রতিষ্ঠানের শিক্ষার্থীরা মানববন্ধনে অংশ নেন","মানববন্ধনে ফেনী সরকারি কলেজ, ফেনী পলিটেকনিক ইনস্টিটিউট, ফেনী কম্পিউটার ইনস্টিটিউট, আর্য সাংস্কৃতিক কেন্দ্র, পূবালী সাংস্কৃতিক কেন্দ্র, কিশোর থিয়েটার, সুবচন নাট্যগোষ্ঠী, প্রথম আলো ফেনী বন্ধুসভা, ফেনী ক্রিকেট একাডেমি, ফেনী ক্রিকেট অ্যাসোসিয়েশন, আরবান ইয়ুথ সোসাইটি, আভাস, মাহবুব উল হক পেয়ারা ফাউন্ডেশনসহ প্রায় ৩০টি সামাজিক-সাংস্কৃতিক সংগঠনের কর্মী সদস্য ও শিক্ষাপ্রতিষ্ঠানের শিক্ষার্থীরা মানববন্ধনে অংশ নেন"
"এ সময় বক্তারা বলেছেন, ইউডিসি উদ্যোক্তারাই লেখালেখির মাধ্যমে তৃণমূল মানুষের সাফল্যের খবর তুলে ধরবেন","এ সময় বক্তারা বলেছেন, ইউডিসি উদ্যোক্তারাই লেখালেখির মাধ্যমে তৃণমূল মানুষের সাফল্যের খবর তুলে ধরবেন"
পরে আমরা প্রাণী নিয়ন্ত্রণ কর্তৃপক্ষকে ডেকে সেটা উদ্ধার করি,পরে আমরা প্রাণী নিয়ন্ত্রণ কর্তৃপক্ষকে ডেকে সেটা উদ্ধার করি
"হতাশার কথা হলো, এতগুলো হোটেলের মধ্যে মাত্র ১৫ শতাংশ বুকিং হয়েছে","হতাশার কথা হলো, এতগুলো হোটেলের মধ্যে মাত্র ১৫ শতাংশ বুকিং হয়েছে"
এই হামলায় তিন নারী ও এক পুরুষ নিহত হয়েছেন,এই হামলায় তিন নারী ও এক পুরুষ নিহত হয়েছেন
উপাচার্য মো. আমিনুল হক ভূঁইয়ার সভাপতিত্বে অনুষ্ঠানে প্রধান অতিথি থাকবেন অর্থ ও পরিকল্পনা প্রতিমন্ত্রী এম এ মান্নান,উপাচার্য মো. আমিনুল হক ভূঁইয়ার সভাপতিত্বে অনুষ্ঠানে প্রধান অতিথি থাকবেন অর্থ ও পরিকল্পনা প্রতিমন্ত্রী এম এ মান্নান
"জানতে চাইলে সাংসদ মোয়াজ্জেম প্রথম আলোকেবলেন, ‘২০ টন চাল কোনো বিষয় না","জানতে চাইলে সাংসদ মোয়াজ্জেম প্রথম আলোকেবলেন, ‘২০ টন চাল কোনো বিষয় না"
অনূর্ধ্ব-১৬ সাফ ফুটবল জয়ের পর তাই অনূর্ধ্ব-১৯ সাফ ফুটবল ঘিরেও প্রত্যাশার জাল বুনছে বাংলাদেশের ফুটবল,অনূর্ধ্ব-১৬ সাফ ফুটবল জয়ের পর তাই অনূর্ধ্ব-১৯ সাফ ফুটবল ঘিরেও প্রত্যাশার জাল বুনছে বাংলাদেশের ফুটবল
এর তিন থেকে চার মাস পরই কালভার্টটির এক পাশ (উত্তর দিক) দেবে যায়,এর তিন থেকে চার মাস পরই কালভার্টটির এক পাশ (উত্তর দিক) দেবে যায়
"ছোটবেলা রণবীর সিং নাকি গরিব ছিলেন! তাও আবার যেই-সেই গরিব না, তাঁরা শুধু সিঙ্গাপুর, ইন্দোনেশিয়া আর যুক্তরাষ্ট্রেই ঘুরতে যেতেন! বললেন, ‘আমাদের পরিবার আর্থিক দিক দিয়ে ততটা সচ্ছল ছিল না","ছোটবেলা রণবীর সিং নাকি গরিব ছিলেন! তাও আবার যেই-সেই গরিব না, তাঁরা শুধু সিঙ্গাপুর, ইন্দোনেশিয়া আর যুক্তরাষ্ট্রেই ঘুরতে যেতেন! বললেন, ‘আমাদের পরিবার আর্থিক দিক দিয়ে ততটা সচ্ছল ছিল না"
"তারপরও আমি নিশ্চিত, ও এই পুরস্কারের অনেক কাছে আছে","তারপরও আমি নিশ্চিত, ও এই পুরস্কারের অনেক কাছে আছে"
"সংবাদমাধ্যম এ নিয়ে বিসিসিআই নির্বাচক প্রধান এম এস কে প্রসাদের সঙ্গে যোগাযোগ করলে তিনি বলেন, ‘দয়া করে এ বিষয়ে বিসিসিআই সেক্রেটারির সঙ্গে কথা বলুন","সংবাদমাধ্যম এ নিয়ে বিসিসিআই নির্বাচক প্রধান এম এস কে প্রসাদের সঙ্গে যোগাযোগ করলে তিনি বলেন, ‘দয়া করে এ বিষয়ে বিসিসিআই সেক্রেটারির সঙ্গে কথা বলুন"
দোকানের মালিক রোস্তম ইসলাম জামায়াতের একজন কর্মী,দোকানের মালিক রোস্তম ইসলাম জামায়াতের একজন কর্মী
ইউনিকোডের প্রথম সংস্করণ ১৯৮৮ সালে প্রকাশ পেলেও ১৯৮৮ থেকে ২০০৯ সাল পর্যন্ত ইউনিকোড কনসোর্টিয়ামে বাংলাদেশ ছিল না,ইউনিকোডের প্রথম সংস্করণ ১৯৮৮ সালে প্রকাশ পেলেও ১৯৮৮ থেকে ২০০৯ সাল পর্যন্ত ইউনিকোড কনসোর্টিয়ামে বাংলাদেশ ছিল না
চারজনের একাদশ থেকে একটি একাদশ গড়তে চাইলে তাতে এই আট ক্রিকেটারই থাকবেন,চারজনের একাদশ থেকে একটি একাদশ গড়তে চাইলে তাতে এই আট ক্রিকেটারই থাকবেন
চট্টগ্রামের হাটহাজারী ও মিরসরাই,চট্টগ্রামের হাটহাজারী ও মিরসরাই
পরে লাইন থেকে ট্যাংকারগুলো সরিয়ে নিলে বেলা তিনটার দিকে আবার ট্রেন চলাচল শুরু হয়,পরে লাইন থেকে ট্যাংকারগুলো সরিয়ে নিলে বেলা তিনটার দিকে আবার ট্রেন চলাচল শুরু হয়
আবার দায়িত্ব পেলে অনূর্ধ্ব-১৬ টুর্নামেন্টটাকে রূপ দিতে চান অনূর্ধ্ব-১৮-তে,আবার দায়িত্ব পেলে অনূর্ধ্ব-১৬ টুর্নামেন্টটাকে রূপ দিতে চান অনূর্ধ্ব-১৮-তে
তাঁর দুই ছেলেমেয়ে,তাঁর দুই ছেলেমেয়ে
"২০১৬ সালে প্রকাশিত সরকারি অপরাধ প্রতিবেদন অনুযায়ী, ভারতে প্রতি ১৫ মিনিটে একটি শিশু ধর্ষণের শিকার হচ্ছে","২০১৬ সালে প্রকাশিত সরকারি অপরাধ প্রতিবেদন অনুযায়ী, ভারতে প্রতি ১৫ মিনিটে একটি শিশু ধর্ষণের শিকার হচ্ছে"
প্রথম আলোর অনুরোধে বাংলাদেশ দলের চার খেলোয়াড় ও নির্বাচক হাবিবুল বাশার সিরিজটির দিকে ফিরে তাকিয়ে আপ্লুত হলেন আবারও,প্রথম আলোর অনুরোধে বাংলাদেশ দলের চার খেলোয়াড় ও নির্বাচক হাবিবুল বাশার সিরিজটির দিকে ফিরে তাকিয়ে আপ্লুত হলেন আবারও
রাজশাহী বিশ্ববিদ্যালয়ের সমাজবিজ্ঞান বিভাগের অধ্যাপক এ কে এম শফিউল ইসলাম হত্যাকাণ্ডে জড়িত থাকার অভিযোগে নাসরিন আকতার নামের একজনকে আটক করেছে নগর গোয়েন্দা পুলিশ,রাজশাহী বিশ্ববিদ্যালয়ের সমাজবিজ্ঞান বিভাগের অধ্যাপক এ কে এম শফিউল ইসলাম হত্যাকাণ্ডে জড়িত থাকার অভিযোগে নাসরিন আকতার নামের একজনকে আটক করেছে নগর গোয়েন্দা পুলিশ
বিশ্ববিদ্যালয়ের ট্রাস্টি বোর্ডের সদস্যরা পরস্পরের যোগসাজশে বেশি দাম দেখিয়ে বাকি ৯ কোটি ৬১ লাখ টাকা বেশি পরিশোধ না করে আত্মসাৎ করেছেন বলে অভিযোগে উল্লেখ করা হয়,বিশ্ববিদ্যালয়ের ট্রাস্টি বোর্ডের সদস্যরা পরস্পরের যোগসাজশে বেশি দাম দেখিয়ে বাকি ৯ কোটি ৬১ লাখ টাকা বেশি পরিশোধ না করে আত্মসাৎ করেছেন বলে অভিযোগে উল্লেখ করা হয়
উপজেলার রূপকারী ইউনিয়নের রূপকারী উচ্চবিদ্যালয় থেকে সকাল ১০টায় শুরু হওয়া শোভাযাত্রায় অংশ নেন স্থানীয় আদিবাসী নাগরিকেরা,উপজেলার রূপকারী ইউনিয়নের রূপকারী উচ্চবিদ্যালয় থেকে সকাল ১০টায় শুরু হওয়া শোভাযাত্রায় অংশ নেন স্থানীয় আদিবাসী নাগরিকেরা
কিন্তু আদালতে রিট করে কেউ কেউ সুবিধা নিচ্ছে,কিন্তু আদালতে রিট করে কেউ কেউ সুবিধা নিচ্ছে
রাষ্ট্রপক্ষে এ সময় অ্যাটর্নি জেনারেল মাহবুবে আলম উপস্থিত ছিলেন,রাষ্ট্রপক্ষে এ সময় অ্যাটর্নি জেনারেল মাহবুবে আলম উপস্থিত ছিলেন
সেটি আজ ৪-০ ব্যবধান হয়ে গেল,সেটি আজ ৪-০ ব্যবধান হয়ে গেল
কিন্তু ২০১৩ সালের এসব বিদ্যালয় জাতীয়করণের ঘোষণা হওয়ায় বাকি সাড়ে ২৮ হাজার প্রার্থীর নিয়োগ বন্ধ করে মন্ত্রণালয়,কিন্তু ২০১৩ সালের এসব বিদ্যালয় জাতীয়করণের ঘোষণা হওয়ায় বাকি সাড়ে ২৮ হাজার প্রার্থীর নিয়োগ বন্ধ করে মন্ত্রণালয়
তিনি বগুড়ার সরকারি আজিজুল হক কলেজের ব্যবস্থাপনা বিষয়ের সম্মান প্রথম বর্ষের ছাত্র,তিনি বগুড়ার সরকারি আজিজুল হক কলেজের ব্যবস্থাপনা বিষয়ের সম্মান প্রথম বর্ষের ছাত্র
ধনু২৩ নভেম্বর-২১ ডিসেম্বর,ধনু২৩ নভেম্বর-২১ ডিসেম্বর
"যেমন আসিতেছে, শীঘ্রই আসিতেছে কিংবা মহাসমারোহে আসিতেছে, নাচে-গানে ভরপুর, আংশিক রঙিন ইত্যাদি","যেমন আসিতেছে, শীঘ্রই আসিতেছে কিংবা মহাসমারোহে আসিতেছে, নাচে-গানে ভরপুর, আংশিক রঙিন ইত্যাদি"
মানববন্ধনে অংশ নিয়ে ঢাকাস্থ রংপুর বিভাগ সমিতির সভাপতি আবদুল্লাহ আল নাসের এ-সংক্রান্ত দাবিদাওয়া তুলে ধরেন,মানববন্ধনে অংশ নিয়ে ঢাকাস্থ রংপুর বিভাগ সমিতির সভাপতি আবদুল্লাহ আল নাসের এ-সংক্রান্ত দাবিদাওয়া তুলে ধরেন
কিছুটা লাভ হলো,কিছুটা লাভ হলো
এটি চলমান প্রক্রিয়া,এটি চলমান প্রক্রিয়া
দূরের যাত্রা শুভ,দূরের যাত্রা শুভ
নতুন ভবন নির্মাণের জন্য জনপ্রতিনিধিরা বিভিন্ন প্রতিশ্রুতি দিলেও তা বাস্তবায়িত হচ্ছে না,নতুন ভবন নির্মাণের জন্য জনপ্রতিনিধিরা বিভিন্ন প্রতিশ্রুতি দিলেও তা বাস্তবায়িত হচ্ছে না
"হার্ডওয়্যার পরীক্ষাপুরোনো মোবাইল ফোন কেনার আগে ফোনের কাঠামো ঠিকঠাক আছে কি না, দেখে দিন","হার্ডওয়্যার পরীক্ষাপুরোনো মোবাইল ফোন কেনার আগে ফোনের কাঠামো ঠিকঠাক আছে কি না, দেখে দিন"
নিয়মিত ১১ জন ও অনিয়মিত ১৯ জন শ্রমিক নিয়ে শুরু করেন,নিয়মিত ১১ জন ও অনিয়মিত ১৯ জন শ্রমিক নিয়ে শুরু করেন
উষসী ও সোমা সে কথাটাও মনে করিয়ে দিয়েছে,উষসী ও সোমা সে কথাটাও মনে করিয়ে দিয়েছে
সব বিষয়ে ফলপ্রসূ ও বলিষ্ঠ আলোচনা করতে হবে,সব বিষয়ে ফলপ্রসূ ও বলিষ্ঠ আলোচনা করতে হবে
মকর (২২ ডিসেম্বর—২০ জানুয়ারি)বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে,মকর (২২ ডিসেম্বর—২০ জানুয়ারি)বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে
"গাছপালা আর রাস্তাঘাটে ধুলোবালু যা জমেছিল, এক্কেবারে শেষ","গাছপালা আর রাস্তাঘাটে ধুলোবালু যা জমেছিল, এক্কেবারে শেষ"
"রায় ঘোষণার সময় আদালত বলেছেন, নারী সাবালিকা বা নাবালিকা যা-ই হোন না কেন, শরীরের ওপর তাঁর পূর্ণ অধিকার রয়েছে","রায় ঘোষণার সময় আদালত বলেছেন, নারী সাবালিকা বা নাবালিকা যা-ই হোন না কেন, শরীরের ওপর তাঁর পূর্ণ অধিকার রয়েছে"
লেভেল-২-এর বিশাল চত্বরে সাংবাদিকদের জন্য রয়েছে চার-পাঁচ শ ল্যাপটপ,লেভেল-২-এর বিশাল চত্বরে সাংবাদিকদের জন্য রয়েছে চার-পাঁচ শ ল্যাপটপ
প্রাথমিকভাবে ৫ রান পেনাল্টি করা হয়েছিল সেদিন,প্রাথমিকভাবে ৫ রান পেনাল্টি করা হয়েছিল সেদিন
