Error,Word
জ ন প ি য়,জ ন প ্ র ি য়
ই শ ্ ত ে হ া র ে,ই শ ত ে হ া র ে
প র া ম র ্ ষ ে,প র া ম র ্ শ ে
প া ণ,প া ন
এ ত ে ই,এ ত ই
ন ে ত ্ ব র ক ্ ক ে,ন ে ট ও য ় া র ্ ক ক ে
ল ঞ ্ ছ জ গ ে,ল ঞ ্ চ য ো গ ে
র ি ত ি ম ত,র ী ত ি ম ত ো
স শ ু র ব া র ি,শ ্ ব শ ু র ব া ড় ি
গ জ া ম ি ল,গ ে া ঁ জ া ম ি ল
ল ো ক শ ভ া,ল ো ক স ভ া
ব া চ া ত ে,ব া ঁ চ া ত ে
শ ি র ি ও,স ি র ী য়
প া র থ ক ্ ক,প া র ্ থ ক ্ য
স ং ঘ ত ন ে,স ং গ ঠ ন ে র
হ ত,হ ত ো
এ ত ত া ই,এ ত ট া ই
হ ই য় ে ছ ে ন,হ য় ে ছ ে ন
প ্ র য় গ ে র,প ্ র য় ো গ ে র
স া ং ঘ া ত ি ক,স া ঙ ্ ঘ া ত ি ক
প া ল া ন র,প া ল া ন ো র
ভ ত া র দ ে র,ভ ো ট া র দ ে র
স া হ জ া ল া ল,শ া হ জ া ল া ল
ব ি শ য় ক ে,ব ি ষ য় ক ে
গ র ন ত ন ্ ত ্ র,গ ণ ত ন ্ ত ্ র
ব া ব হ া র ি ক,ব ্ য ব হ া র ি ক
ম ই ল া,ম য় ল া
ব ্ য া ক ্ ত ি র,ব ্ য ক ্ ত ি র
ঘ ট ন া ট ি র,ঘ ট ন া ট ি
প ্ র ত ি শ ্ ত হ া ত া,প ্ র ত ি ষ ্ ঠ া ত া
ছ ি ত ক ে,ছ ি ট ক ে
গ ্ ল া য়,গ ল া য়
স হ ো য ো গ ি ক ে,স হ ো য ো গ ী ক ে
স খ া ন ে ক,শ খ া ন ে ক
র া স ্ ত ্ র ভ া শ া,র া ষ ্ ট ্ র ভ া ষ া
ড া ব ্ ল,ড া ব ল
র ে জ য় া ন ু ল,র ে জ ও য় া ন ু ল
প ্ র শ ন শ া,প ্ র শ ং স া
জ া ক,য া ক
প ড় ত ি র া,প ্ র ত ি র া
র শ জ ু ক ্ ত,র স য ু ক ্ ত
ত ্ র ি ন ভ জ ি,ত ৃ ণ ভ ো জ ী
গ ি র ্ জ া য়,গ ি র ্ জ া য ়
দ ু র ন ি ত ি র,দ ু র ্ ন ী ত ি র
আ গ া ম ি ত ে,আ গ া ম ী ত ে
ন ি র ্ ব া চ ন,ন ি র ্ ব া চ ন ে
স ছ ে ন ত া র,স চ ে ত ন ত া
চ ো ত গ ্ র া ম ে র,চ ট ্ ট গ ্ র া ম ে র
প এ ই শ ক া র,প র ি ষ ্ ক া র
ফ ে ব ্ র ু য় া র ‍ ্ য ত ে,ফ ে ব ্ র ু য় া র ি
ভ ি ত া ম ন,ভ ি ট া ম ি ন
উ প দ া ন,উ প া দ া ন
প া র ফ র ম ে ন ্ স,প া র ফ র ম ্ য া ন ্ স
ত দ ন ্ ত ক া ল ি ন,ত দ ন ্ ত ক া ল ী ন
ল া শ ত ি,ল া শ ট ি
ব া ট,ব ্ য া ট
ভ া ঙ ্ গ ে ন,ভ া ঙ ে ন
ত ল ে,ত ো ল ে
স ন শ ্ ল ি ষ ্ ট,স ং শ ্ ল ি ষ ্ ট
স ং শ ি থ শ ্ ত,স ং শ ্ ল ি ষ ্ ট
অ ভ ি জ ু ক ্ ত দ ে র,অ ভ ি য ু ক ্ ত দ ে র
ক ল ো ন ি,ক ল ো ন ি র
অ ব ি জ ্ ঞ,অ ভ ি জ ্ ঞ
স া র া,ছ া ড় া
ক ন ্ ড ি শ ন ে ড়,ক ন ্ ড ি শ ন ে র
ই হ ্ র া ম ে র,ই হ র া ম ে র
র া জ ন ি ত ি ব ি দ ে র া,র া জ ন ী ত ি ব ি দ ে র া
প া ই ল ত,প া ই ল ট
স া ম গ ্ র ি র,স া ম গ ্ র ী র
চ ে ক া প ে র,চ ে ক আ প ে র
স া ন ্ ত ি র,শ া ন ্ ত ি র
প স ক,প ো ষ ক
ন ি র ্ ব া চ ন ে,ন ি র ্ ব া চ ন
ত া ক া ই,ট া ক া য়
ব ি শ ি ও য় গ ু ল র,ব ি ষ য ় গ ু ল ো র
গ র ব ে র,গ র ্ ব ে র
ফ র ম ে ত,ফ র ম ্ য া ট
ম ব ি ল,ম ো ব া ই ল
ই উ এ ন ে ই ছ স ি য় া র ে র,ই উ এ ন এ ই চ স ি আ র ে র
জ ু ক ্ ত ্ র া শ ্ ত ্ র ে র,য ু ক ্ ত র া ষ ্ ট ্ র ে র
স া স ্ থ,স ্ ব া স ্ থ ্ য
প ু ল ি শ,প ু ল ি শ ী
ম া দ ্ ধ ই ম,ম া ধ ্ য ম
শ া হ ন ক ্ ষ া ম ত া য়,শ া স ন ক ্ ষ ম ত া য়
ত ্ র ু স ্ ত ে র,ট ্ র া স ্ ট ে র
উ প ্ স থ ি ত ি ত ে,উ প স ্ থ ি ত ি ত ে
ক া উ ক ে,ক া উ ক ে ই
ভ ে ঙ ্ গ ে,ভ ে ঙ ে
ক ্ ষ ্ ম ত া য়,ক ্ ষ ম ত া য়
ম ম ত আ,ম ম ত া
ছ ল ম া ন,চ ল ম া ন
শ ই ত ে,স ই ত ে
ক া ও ক ে,ক া উ ক ে
ব হ ু ড ি ন,ব হ ু দ ি ন
ব ে ঙ ্ ক ি ং,ব ্ য া ং ক ি ং
ভ ি র ে র,ভ ি ড় ে র
প ্ ত ে,প ে ত ে
ম ি ন ে স ত া,ম ি ন ে স ো ট া
স ্ ত া ন ি য়,স ্ থ া ন ী য়
গ র ল ে ন,গ ড় ল ে ন
ই ত ো ম ধ ে ই,ই ত ো ম ধ ্ য ে ই
ক ্ র ি শ ি প ন ্ ন,ক ৃ ষ ি প ণ ্ য
ভ া প,চ া প
স ্ ত া দ ি য় া ম ে,স ্ ট ে ড ি য় া ম ে
ই য় া র,ন ে য় া র
অ ন ু র ্ ধ ২ ৩,অ ন ূ র ্ ধ ্ ব ২ ৩
প ্ ল া স ্ ত ি ক ে র,প ্ ল া স ্ ট ি ক ে র
ব ি ভ ি ন ন ্ ন,ব ি ভ ি ন ্ ন
আ দ ্ য,আ দ া
ধ ই র জ,ধ ৈ র ্ য
ব ি খ া আ ত,ব ি খ ্ য া ত
প ব ি ন ে ত ্ র ী,অ ভ ি ন ে ত ্ র ী
প ্ র ি শ ্ ত হ া,প ৃ ষ ্ ঠ া
র ি ন ে র,ঋ ণ ে র
ঘ ত ে ছ ি ল,ঘ ট ে ছ ি ল
উ ন ্ ম ছ ি ত,উ ন ্ ম ো চ ি ত
এ ল ি জ া ব ে দ,এ ল ি জ া ব ে থ
আ ও য় া ম ী,আ ও য ় া ম ী
ছ র ম,চ র ম
হ া ত ে ব া ত ে,হ া ত ে ন া ত ে
ক থ া ও,ক ো থ া ও
স ু ই ফ ত,স ু ই ফ ট
ব ু ম ্ র া র,ব ু ম র া র
প ড় ি,প ড় ে
শ র ক া র ি,স র ক া র ি
জ া প ন,য া প ন
ন ি হ ত ি র া,ন ি হ ত র া
ভ ি শ ন,ভ ী ষ ণ
ন ী য় ে,ন ি য় ে
অ ন ু য া ই য় ী,অ ন ু য া য় ী
ছ া ছ ছ ে ন,চ া চ ্ ছ ে ন
শ ু ক ্ র ু ব া র ে র,শ ু ক ্ র ব া র ে ই
ধ র স ন,ধ র ্ ষ ণ
ক ু র ু ক ্ ক ে ত ্ র,ক ু র ু ক ্ ষ ে ত ্ র
ব ি শ ে শ জ ্ ঞ,ব ি শ ে ষ জ ্ ঞ
ব ই শ া ক ে,ব ৈ শ া খ ে
ব া র ষ ী ক,ব া র ্ ষ ি ক
হ য় ে হ ছ ে,হ য় ে ছ ে
ব ে ত ্ ন,ব ে ত ন
ন ছ ি ক ে ত া,ন চ ি ক ে ত া
ই চ ্ ছ া,ই চ ্ ছ ে
প া য়,প ্ র া য়
ন ি র ব া শ,ন ি র ্ ব া স ন
হ য় ে চ ে,হ য় ে ছ ে
গ ু ল ্ ব া দ ি ন,গ ু ল ব া দ ি ন
উ ছ ছ ত া য়,উ চ ্ চ ত া য়
গ ো ল দ া ক ে,গ ো ল ্ ড া ক ে
ম হ া ন া গ ্ র,ম হ া ন গ র
ক ন ্ স ু ল ে ট,ক ন স ্ য ু ল ে ট
ম ত র চ ্ য চ ল ী র,ম ো ট র স া ই ক ে ল ে র
প শ ্ ন,প ্ র শ ্ ন
ম া ভ ব া ন,ল া ভ ব া ন
জ ে শ ্ ত হ,জ ্ য ে ষ ্ ঠ
র ি ত া য় া র,র ি ট া য ় া র
প ্ র স ্ ত ু ত ী,প ্ র স ্ ত ু ত ি
ম উ শ ু ম ে র,ম ৌ স ু ম ে র
ন ু স ্ র া ত,ন ু স র া ত
ক ল ্ ল া ন ে র,ক ল ্ য া ণ ে র
ম দ ি র,ম ো দ ি র
ই ল ে ক ্ ত ্ র ি ক,ই ল ে ট ্ র ন ি ক
শ ি র া জ ে র,স ি র া জ ে র
গ া শ ে র,গ ্ য া স ে র
ব ি দ ্ র ু ধ ে,ব ি র ু দ ্ ধ ে
ত ল ে ন,ত ে া ল ে ন
ব া র ত ী ই য়,ভ া র ত ী য়
অ ন ্ ন ত ি,অ ন ্ য ট ি
আ হ ্ ন ম ে দ,আ হ ম ে দ
প ্ র ত ি ষ ত া ন,প ্ র ত ি ষ ্ ঠ া ন
প র ি ক ্ ক া য়,প র ী ক ্ ষ া য়
ক ে র ি য় া র ে র,ক ্ য া র ি য ় া র ে র
ল া ই স ে ন ্ স ে,ল া ই স ে ন ্ স
ত ত ্ থ,ত থ ্ য
ম ্ র ি ত ্ ত ু র,ম ৃ ত ্ য ু র
এ দ ে ন,এ ড ে ন
ক ু ত ্ ন ই ত ি ক ভ া ব ে ও,ক ূ ট ন ৈ ত ি ক ভ া ব ে ও
ম ু ক ্ ত ে য দ ্ ধ া,ম ু ক ্ ত ি য ো দ ্ ধ া
দ ে শ ্ ন ে ত ্ র ি,দ ে শ ন ে ত ্ র ী
এ র ি,এ র ই
গ ু ল স া ন ২ এ র,গ ু ল শ া ন ২ এ র
স ু ষ থ ু,স ু ষ ্ ঠ ু
প া ন ই,প া ন ি
ছ া ই ব ে ন,চ া ই ব ে ন
স র ব স ে স,স র ্ ব শ ে ষ
ম র গ ে র,ম র ্ গ ে র
অ জ ি উ ল ্ ল া হ,ও জ ি উ ল ্ ল া হ
চ,ক ো
ব ে ত ি ঙ ্ গ ে র,ব ্ য া ট ি ং য় ে র
শ ি ব ছ র ে র,শ ি ব চ র ে র
ব া প ্ ট া,ব া প ্ ত া
ব ি প ্ র ী ত ে,ব ি প র ী ত ে
স হ ি দ,শ হ ী দ
ব ি ন ি ম য় ে,ব ি ন ি ম য ় ে
ম ি দ ্ দ ল,ম ি ড ল
ব ি শ য় ি,ব ি ষ য় ই
ব ে ব স ্ থ া,ব ্ য ব স ্ থ া
প ্ স হ ু প া খ ি র,প শ ু প া খ ি র
জ য় ি,জ য় ী
ছ া র ে,চ া র ে
অ ব শ া,অ ব শ ্ য
প ্ র া ঞ ্ জ ু র া ন,প ্ র া ণ জ ু ড় া ন ো
র া স ্ ত ্ র,র া ষ ্ ট ্ র
গ ব ে স ন া র প ত ্ র ে,গ ব ে ষ ণ া প ত ্ র ে
স ি ক ্ ষ ক ্ ত া র,শ ি ক ্ ষ ক ত া র
স র য ন ্ ত ্ র,ষ ড ় য ন ্ ত ্ র
স ম ্ ন ভ ব,স ম ্ ভ ব
চ া ত ্ র,ছ া ত ্ র
ব া ধ,ব া ঁ ধ
স হ য গ ি ত া,স হ য ো গ ি ত া
ব ্ র ি স ্ থ ি প া ত,ব ৃ ষ ্ ট ি প া ত
গ র ত ে র,গ র ্ ত ে র
ন া ম ্ ব া র,ন ম ্ ব র
স ু র গ ে ও ন,স া র ্ জ ন
প ্ র ত ম,প ্ র থ ম
স ্ ত া প ন,স ্ থ া প ন
ব া গ,ভ া গ
ব া ং ল া দ ে স ে র,ব া ং ল া দ ে শ ে র
আ ল র ন,আ ল ো ড় ন
ফ ি ত ্ ন ে স স,ফ ি ট ন ে স
ব ি স শ ব ি দ ্ দ া ল য়,ব ি শ ্ ব ব ি দ ্ য া ল য়
উ প ত ক ্ ক া ই,উ প ত ্ য ক া য়
স া ম ন ে,স া ম ন ে র
ন ি দ,ন দ ী
ন ি চ ে,ন ী চ ে
ক া র ি ও ন ে,ক া র ণ ে
ব ্ র ি ত ্ ত ি শ,ব ্ র ি ট ি শ
ছ ল ছ ছ ি ত ্ র ে,চ ল চ ্ চ ি ত ্ র ে
স প ্ ন,স ্ ব প ্ ন
জ ি ব ি ক া ছ ু ত,জ ী ব ি ক া চ ্ য ু ত
দ া য় ি ত ্ ত ে,দ া য় ি ত ্ ব ে
ব ি র ু দ ্ ধ া চ র ন,ব ি র ু দ ্ ধ া চ র ণ
এ ই ছ ে স স ি,এ ই চ এ স স ি
র হ ি ত,র ো হ ি ত
ন া,ম া
র া জ ন ই ত ি ক ী ক ্ র ন,র া জ ন ৈ ত ি ক ী ক র ণ
ই ন ্ ত া র ফ ্ য া স ্ ক ে র,ই ন ্ ট া র ফ ্ য া ক ্ স ে র
ন ি র ব া চ ন ে,ন ি র ্ ব া চ ন ে
ধ া ক ে,ঢ া ক া য ়
অ র ধ স ত া ধ ি ক,অ র ্ ধ শ ত া ধ ি ক
স ু প ্ র ি প,স ু প ্ র ি ম
প ভ া ব ে ই,প ্ র ভ া ব ে ই
স ু প ্ র ে ম ে,স ু প ্ র ি ম
শ ং খ া ত ি,স ং খ ্ য া ট ি
উ দ ্ দ া ন ে র,উ দ ্ য া ন ে র
আ শ ্ ত ে ন,আ স ত ে ন
গ ্ র হ ক ে র া,গ ্ র া হ ক ে র া
এ ল ি শ,ই শ ি ই
হ ি স া ব ে ও,হ ি স া ব ও
ক স ্ ত,ক ষ ্ ট
ব ে ধ র ক,ব ে ধ ড় ক
শ র দ া র ে র,স র দ া র ে র
প া ছ ত ি,প া ঁ চ ট ি
ব ্ র া ন ্ দ ে র,ব ্ র ্ য া ন ্ ড ে র
থ ি ক,ঠ ি ক
স া র া,স া ড় া
ব ী ম া ন,ব ি ম া ন
গ া ত ত ি,ঘ া ট ত ি
ছ া ক ্ র ি র,চ া ক র ি র
শ ূ হ া ণ া,স ু হ া ন া
ক া জ গ ু ল,ক া জ গ ু ল ো
ভ ি ত র ে,ভ ে ত র ে
ম া ষ,ম া স
শ ি ন ে ম া ই,স ি ন ে ম া য়
প ল ক ে র,প ো ল ক ে র
ব ি শ া স য ো গ ্ য,ব ি শ ্ ব া স য ো গ ্ য
চ ি ক ি থ শ া র,চ ি ক ি ৎ স া র
প র ব,প র ্ ব
ক ি ন ব া,ক ি ং ব া
শ ই গ ্ র,শ ী ঘ ্ র
ব ি র ো ধ ি,ব ি র ো ধ ী
স ্ থ া ন ি য় ভ া ব ে,স ্ থ া ন ী য় ভ া ব ে
এ ন া র ও,এ ন আ র ও
গ ্ র ি হ ক র ত া,গ ৃ হ ক র ্ ত া
প ু র ু স দ ে র,প ু র ু ষ দ ে র
গ ু ন ে র ্ ব,গ ু ণ ে র ও
ব র,ব ড ়
ছ া ই ত ে,চ া ই ত ে
জ ত,য ত
ব ি র ু দ,ব ি র ো ধ
খ ে ল ্ ল ে ন,খ ে ল ল ে ন
ত থ ্ য ম ন ্ ত ্ র ি,ত থ ্ য ম ন ্ ত ্ র ী
ব ি ক ্ ষ ো ভ ক া র ি র া,ব ি ক ্ ষ ো ভ ক া র ী র া
ধ ন ্ ন ব া দ,ধ ন ্ য ব া দ
স া ত দ া উ ন,শ া ট ড া উ ন
ভ র ে র,ভ ো র ে র
ফ ু ত ব ল া র ে র,ফ ু ট ব ল া র ে র
দ ি ন,দ ্ ব ী ন
স হ ি দ ু ল ্ ল া,শ হ ী দ ু ল
গ ব ে ষ ন া,গ ব ে ষ ণ া
অ ত ি র ি ক ্ ত,অ ত ি র ি ক ্ ত ি
ঘ ন ি স ্ থ,ঘ ন ি ষ ্ ঠ
জ ু য় ে ল,জ ু য ় ে ল
স ্ প শ ট,স ্ প ষ ্ ট
ন ি ক ত ্ ত ম,ন ি ক ট ত ম
জ া চ ্ ছ ে ত া ই,য া চ ্ ছ ে ত া ই
জ ি দ ি,জ ি ড ি
প ি র া ল ি,প ী র া ল ি
গ ন ি স ্ ট,ঘ ন ি ষ ্ ঠ
উ ত শ া হ ি ত,উ ৎ স া হ ি ত
ক ী প ে র ে র,ক ি প া র ে র
ন ও া প া র া,ন ও য় া প া ড় া
প ্ র ত ি ব ে দ ি ন ে,প ্ র ত ি ব ে দ ন ে
জ ত ত া,য ত ো ট া
ল ক জ ন ও,ল ো ক জ ন ও
উ প শ া গ র ে,উ প স া গ র ে
ব ি ষ ্ য ে,ব ি ষ য ় ে
শ ে ই,স ে ই
ই ং ল া ন ্ দ ে র,ই ং ল ্ য া ন ্ ড ে র
অ র ধ ে ক,অ র ্ ধ ে ক
ত ে স ্ ত,ট ে স ্ ট
ব ্ র ি স ্ ত ি র,ব ৃ ষ ্ ট ি র
স ে চ ্ ছ া ছ া র ি ত া র,স ্ ব ে চ ্ ছ া চ া র ি ত া র
ক ন ্ ন া র,ক ন ্ য া র
ক ম ি শ ্ ন ক ে,ক ম ি শ ন ক ে
জ ল া ব ধ ত া,জ ল া ব দ ্ ধ ত া
স া ফ ল ্ ল,স া ফ ল ্ য
ব ্ র া ত,ব র া ত
গ ল দ স ব র র ত ে,গ ো ল ্ ড স ব ো র ো ত ে
ক র ব,ক র ব ো
ক ু র া ন ে র,ক ু র আ ন ে র
ভ া ল ো,ভ া ল
ক র ে ছ ি ল ন,ক র ে ছ ি ল ে ন
প ত ্ র ি ক া ত ি,প ত ্ র ি ক া ট ি
স য়,ছ য়
প অ র ে,প র ে
খ ে ত ে র,ক ্ ষ ে ত ে র
হ ও য় া র,হ ও য় া য়
প ো র ত ে,প ড় ত ে
দ ি ছ ে,দ ি য় ে ছ ে
উ ত ্ ত র ন ে,উ ত ্ ত র ণ ে
জ ন ্ স ম ্ ম ু খ ে,জ ন স ম ্ ম ু খ ে
ক,ক ে
ভ া স ন ে,ভ া ষ ণ ে
শ ক ্ স ত ব ্ ধ,শ ো ক স ্ ত ব ্ ধ
প ্ র ক ি ত,প ্ র ক ৃ ত
র ু য় ে ছ ে,র য় ে ছ ে
ছ র া ও,চ ড় া ও
ন ভ ে ম ্ ব ে র ে র,ন ভ ে ম ্ ব র ে র
ভ ু ম ি ক ম ্ প,ভ ূ ম ি ক ম ্ প
ন ি য় া ম ন ু জ া য় ি,ন ি য ় ম া ন ু য া য ় ী
ক ন ো,ক ো ন ো
স ঙ ্ ঘ ত,স ং হ ত
অ য় ে ব,ও য় ে ব
ব ্ য া ও ং ক ে র,ব ্ য া ং ক ে র
এ ক ্ স ম য়,এ ক স ম য়
ত ল ্ ল া স ি,ত ল ্ ল া শ ি
৩ ৫ ৬ ৫,৩ ৫ ৩ ৬
হ ত ্ ত া র,হ ত ্ য া র
প র া ম র শ দ া ত া,প র া ম র ্ শ দ া ত া
স ন া ন ো,শ ো ন া ন ো
ছ ি ত ্ র ে,চ ি ত ্ র
ন ি ব ন ্ ধ ণ,ন ি ব ন ্ ধ ন
ন ি র ভ ি ক,ন ি র ্ ভ ী ক
ন ি র া প ত ্ ত া ই,ন ি র া প ত ্ ত া য়
ব ি শ শ ক া প ে,ব ি শ ্ ব ক া প ে
ম ি ল ি ম ি ত া র,ম ি ল ি ম ি ট া র
অ ন ে ক ্ ষ া ন ি,অ ন ে ক খ া ন ি
শ ি ক ্ ক ক,শ ি ক ্ ষ ক
প ে র া,প ্ য া র া
স ু ল ্ ক,শ ু ল ্ ক
ন ি র া প ত ত া র,ন ি র া প ত ্ ত া র
ম য় ন া ত দ ন ত ে র,ম য় ন া ত দ ন ্ ত ে র
স ং ঘ ট ন ে র,স ং গ ঠ ন ে র
ন ি র ভ র ত া,ন ি র ্ ভ র ত া
ব ্ ব র শ া,ব র ্ ষ া য়
স ে ষ,শ ে ষ
ফ া শ,ফ া ঁ স
স ্ য ট ে ল া ই ট,স ্ য া ট ে ল া ই ট
ফ া র ম ে র,ফ া র ্ ম ে
ভ ো ট গ ্ র হ ন,ভ ো ট গ ্ র হ ণ
জ া ত ি য়,জ া ত ী য ়
ব ে ল ত ে,ব ্ য া ল ট ে
খ ন ্ দ ে র,খ ণ ্ ড ে র
ন া ম ই ক,ন া ম ক
ব া ধ া ই,ব া ধ া য়
স ি ঙ ্ গ া প র ে র,স ি ঙ ্ গ া প ু র ে র
ভ দ ি ষ ্ য ত ে,ভ ব ি ষ ্ য ত ে
শ ু দ ু,শ ু ধ ু
ই ম া ন ে র,ঈ ম া ন ে র
দ ে ও া,দ ে য ় া
অ প ্ র ু প,অ প র ূ প
ন া র স ি ং,ন া র ্ স ি ং
ব ি ন া ব া ক ্ ক ে,ব ি ন া ব া ক ্ য ে
হ উ য় া য়,হ ও য ় া য ়
আ ক ্ র ম ন,আ ক ্ র ম ণ
অ ঙ ্ ঘ শ,অ ং শ
হ ে ত ে,হ ে ঁ ট ে
ই ্ ন গ ল ি স,ই ং ল ি শ
স ং স ্ ক ্ র ি ত ্ র,স ং স ্ ক ৃ ত ি র
স ্ প ম ্ প র ক,স ম ্ প র ্ ক
গ ম ু ত ্ র,গ ো ম ূ ত ্ র ে র
দ ি ত ্ ত ি ও,দ ্ ব ি ত ী য়
থ ী ক ে,থ ে ক ে
শ দ স শ দ ে র,স দ স ্ য দ ে র
আ ক ্ র ি শ ্ ত ক া র ি,আ ক ৃ ষ ্ ট ক া র ী
ড ি জ া ই ন া র,ড ি জ া ই ন ে র
অ র ্ থ া ৎ,অ র ্ থ ্ য া ৎ
স ত ি র ্ থ দ ে র,স ত ী র ্ থ দ ে র
এ ঁ র,এ ই
ক দ ম,ক দ ম ও
ব া হ ি ন ে র,ব া হ ি ন ী র
ব ি জ ে প ্ ত,ব ি জ ে প ি
এ ক ট া,এ ক ট ি
দ ল গ ু ল া র,দ ল গ ু ল ো র
প ু ল ি ষ ে র,প ু ল ি শ ে র
প র ন ে র,প ড় ে ন ে র
ক ি ছ ু ক ্ ষ ন,ক ি ছ ু ক ্ ষ ণ
অ গ া য় া র,ও গ া য় া র
ছ ি ন,চ ী ন
য থ া র থ,য থ া র ্ থ
ব া ধ া,ব া ঁ ধ া
স ন ্ ত শ জ ন ক,স ন ্ ত ো ষ জ ন ক
ছ ি ল া ম,ছ ি ল ে ন
ম া জ ে ম দ ্ ধ ে,ম া ঝ ে ম ধ ্ য ে
স ছ ি ব,স চ ি ব
প স ্ ত ে,প ো স ্ ট ে
ত ি ক ি য় ে,ট ি ক ি য় ে
গ ্ ণ ত া ন ্ ত ্ র ি ক,গ ণ ত া ন ্ ত ্ র ি ক
ব র ্ ন া ঢ ্ য,ব র ্ ণ া ঢ ্ য
আ ক ি,এ ক ই
শ া ঁ খ া র,শ া খ া র
ম া র ন া স ্ ত ্ র ে,ম া র ণ া স ্ ত ্ র ে
স ্ র ম ি ক,শ ্ র ম ি ক
স ম স স া য়,স ম স ্ য া য়
স া র ক ু ল া র,স া র ্ ক ু ল া র ে
উ দ ্ দ ে গ,উ দ ্ য ো গ
য ু ক ্ ত র া স ্ ট ্ র ে,য ু ক ্ ত র া ষ ্ ট ্ র ে
এ গ ু ল ে ত র ি,র ে গ ু ল ে ট র ি
ছ া ত ি য় া ন ্ ত ল া,ছ া ত ি য় া ন ত ল া
আ ই ঙ ্ গ ত,আ ই ন গ ত
এ ম ন ্ ত ি,এ ম ন ট ি
আ উ ত ে র,আ উ ট ে র
ব র ত ি,ভ র ্ ত ি
প ু র ন া ঙ ্ গ,প ূ র ্ ণ া ঙ ্ গ
ছ া র ি য় ে ও,ছ া ড় ি য় ে ও
স ি ন ্ ধ া ন ্ ত,স ি দ ্ ধ া ন ্ ত ে
গ র া চ ্ ছ ে,গ ড় া চ ্ ছ ে
স র ক ে র,স ড় ক ে র
ব ্ য া প া র ে,ব ্ য প া র ে
ভ ী স ি,ভ ি স ি
ম ু ষ ফ ি ক,ম ু শ ফ ি ক
ই দ ্ গ া ও,ঈ দ গ া ঁ ও
র হ ্ ম া ন ে র,র হ ম া ন ে র
হ ো ল,হ ল ো
ত ত ্ ত া ব ্ ধ া ন ে,ত ত ্ ত ্ ব া ব ধ া ন ে
স ং খ ্ য া গ র ি শ ঠ,স ং খ ্ য া গ র ি ষ ্ ঠ
শ ্ র ে ন ি,শ ্ র ে ণ ী
ন ি হ ে ত ে র,ন ি হ ত ে র
ক ম ্ ন ে,ক ে ম ন ে
প ্ র ক া স,প ্ র ক া শ
স ব চ ে য় ে,স ব চ ে য ় ে
থ ে ক ে,থ া ক া
দ ে য়,দ ে য ়
স ং ব া দ ্ দ া ত া,স ং ব া দ দ া ত া
ই য় া ক ি দ,ই য় া জ ি দ
আ ক ্ ষ ে ত,আ খ ্ য া
ল ি ব া র,ল ি ভ া র
চ া ঞ ্ চ ে র,ক ্ য া ন ্ স া র
গ ল দ া ত া,গ ো ল দ া ত া
প ্ র া য়,প ্ র া য ়
থ ে ক,থ ে ক ে
জ ন ড় া য়,জ ন র া য়
ব ছ র,ব ছ র ই
ন জ ি র ব ি হ ি ন,ন জ ি র ব ি হ ী ন
ক া ন ্ ন া ক া ত ি,ক া ন ্ ন া ক া ট ি
ম ে ট া য়,ম ে ট া য ়
ক া ত া চ ্ ছ ে ন,ক া ট া চ ্ ছ ে ন
শ ক ্ ষ ম,স ক ্ ষ ম
দ ে ব ্ দ ি প ে র,দ ে ব দ ী প ে র
ব ল ্ ট ন,ব ো ল ্ ট ন
ত া ব ্ ল ী ে,ট ে ব ি ল ে
অ ধ ি ক া র,অ ধ ি ক া র ক ে
ও য় া ন ড় া ঊ ন ে,ও য় া ন ড া উ ন ে
ম ্ র ি ত ্ ত ু দ ন ্ দ া দ ে শ,ম ৃ ত ্ য ু দ ণ ্ ড া দ ে শ
শ া য় ম ল ি,শ ্ য া ম ল ী
আ হ ম ে দ ে র,হ া ম ্ ম দ ে র
ম ি ল ্ গ ল ক ে,ম ি ল গ ু ল ো ক ে
স ্ ন া য় ু জ ু দ ্ ধ ক া ল ে,স ্ ন া য় ু য ু দ ্ ধ ক া ল ে
ম ো দ ী,ম ো দ ি
শ ু প া র শ গ ু ল,স ু প া র ি শ গ ু ল ো
দ ে ক ে,দ ে খ ে
শ ি ক ্ ষ া র ত ি দ ে র,শ ি ক ্ ষ া র ্ থ ী দ ে র
য া য় ণ ী,য া য় ন ি
ত া র া ই,ত া ঁ র া ই
দ ে ই য় া,দ ে য় া
স ে ন ্ ত স ে ভ,স ে ন ্ ত স ভ
প া আ,প া য়
ছ া র ছ ে ন,ছ া ড ় ছ ে ন
স ই র ত া ন ্ ত ্ র ি ক,স ্ ব ৈ র ত া ন ্ ত ্ র ি ক
স র ব া র হ ে,স র ব র া হ ে র
ব ঙ ্ গ প স া গ র ে,ব ঙ ্ গ ো প স া গ র ে
ম ি শ র ি য় র া,ম ি স র ী য ় র া
র া ই দ,র া ই ড
চ ু র া য়,চ ূ ড় া য়
দ ে শ ে র,দ ে শ ট ি র
উ ল ্ ল ে ক ি ত,উ ল ্ ল ি খ ি ত
ট ু র ্ ন া ম ে ণ ্ ট,ট ু র ্ ন া ম ে ন ্ ট ে
ক র ব প,ক র ব
ম ্ য চ ে,ম ্ য া চ
স ে ঞ ্ ছ ু র ি,স ে ঞ ্ চ ু র ি র
দ ি এ,দ ি য় ে
প ে র ি য় ে,প ে ড় ি য় ে
অ ছ ি র ে ই,অ চ ি র ে ই
হ চ ে,হ চ ্ ছ ে
দ ে উ ল ্ ভ গ,দ ে উ ল ভ ো গ
