correct_sentence,gt,sentence,correction
"প্রতিবেদনে বলা হয় , বাংলাদেশে বিরোধীদের অবরোধ কর্মসূচি চলাকালে সহিংসতায় বেশ কিছু লোক হতাহত হয়েছেন।","প্রতিবেদনে বলা হয় , বাংলাদেশে বিরোধীদের অবরোধ কর্মসূচি চলাকালে সহিংসতায় $yes$ কিছু লোক হতাহত হয়েছেন।","প্রতিবেদনে বলা হয় , বাংলাদেশে বিরোধীদের অবরোধ কর্মসূচি চলাকালে সহিংসতায় yes কিছু লোক হতাহত হয়েছেন।","[((74, 76), 'বেশ')]"
"আদালত বলেছেন , এটি সাংবিধানিক বিষয়।","আদালত বলেছেন , এটি সাংবিধানিক বিষয়।","আদালত বলেছেন , এটি সাংবিধানিক বিষয়।",[]
সমাজে প্রতিষ্ঠা পেতে অনেক কষ্ট করতে হয়েছে।,সমাজে প্রতিষ্ঠা পেতে অনেক কষ্ট করতে হয়েছে।,সমাজে প্রতিষ্ঠা পেতে অনেক কষ্ট করতে হয়েছে।,[]
অনুষ্ঠানে বিশ্ববিদ্যালয়ের ট্রাস্টি রাশেদ চৌধুরী উপস্থিত ছিলেন।,অনুষ্ঠানে বিশ্ববিদ্যালয়ের ট্রাস্টি রাশেদ চৌধুরী উপস্থিত ছিলেন।,অনুষ্ঠানে বিশ্ববিদ্যালয়ের ট্রাস্টি রাশেদ চৌধুরী উপস্থিত ছিলেন।,[]
"নির্বাচনী ব্যবস্থায় অধিকতর স্বচ্ছতা আনার লক্ষ্যে ইলেকট্রনিক ভোটিং মেশিন ( ইভিএম ) কেনা , সংরক্ষণ ও ব্যবস্থাপনা প্রকল্পের আওতায় মোট দেড় লাখ ইভিএম কেনা হবে।","নির্বাচনী ব্যবস্থায় অধিকতর স্বচ্ছতা আনার লক্ষ্যে $electronic$ ভোটিং মেশিন ( ইভিএম ) কেনা , সংরক্ষণ $u$ ব্যবস্থাপনা প্রকল্পের আওতায় মোট দেড় লাখ ইভিএম কেনা হবে।","নির্বাচনী ব্যবস্থায় অধিকতর স্বচ্ছতা আনার লক্ষ্যে electronic ভোটিং মেশিন ( ইভিএম ) কেনা , সংরক্ষণ u ব্যবস্থাপনা প্রকল্পের আওতায় মোট দেড় লাখ ইভিএম কেনা হবে।","[((49, 58), 'ইলেকট্রনিক'), ((97, 97), 'ও')]"
আগামী ৯ ফেব্রুয়া​রি​ থেকে ৫ মার্চ পর্যন্ত চলবে এই টুর্নামেন্ট।,আগামী ৯ ফেব্রুয়া​রি​ থেকে ৫ $march$ পর্যন্ত চলবে এই টুর্নামেন্ট।,আগামী ৯ ফেব্রুয়া​রি​ থেকে ৫ march পর্যন্ত চলবে এই টুর্নামেন্ট।,"[((28, 32), 'মার্চ')]"
সেখানেই নিউ সাউথ ওয়েলসকে নেতৃত্ব দিয়েছেন অস্ট্রেলিয়ার অধিনায়ক স্টিভ স্মিথ।,সেখানেই $new$ $south$ ওয়েলসকে নেতৃত্ব দিয়েছেন অস্ট্রেলিয়ার অধিনায়ক স্টিভ স্মিথ।,সেখানেই new south ওয়েলসকে নেতৃত্ব দিয়েছেন অস্ট্রেলিয়ার অধিনায়ক স্টিভ স্মিথ।,"[((8, 10), 'নিউ'), ((12, 16), 'সাউথ')]"
জেলা প্রশাসন থেকে ২০ জুলাই পাঠানো গণবিজ্ঞপ্তিটি গতকাল রোববার হাসপাতাল ও কলেজ কর্তৃপক্ষের কাছে পৌঁছায়।,জেলা প্রশাসন থেকে ২০ $july$ পাঠানো গণবিজ্ঞপ্তিটি গতকাল রোববার হাসপাতাল $u$ $college$ কর্তৃপক্ষের কাছে পৌঁছায়।,জেলা প্রশাসন থেকে ২০ july পাঠানো গণবিজ্ঞপ্তিটি গতকাল রোববার হাসপাতাল u college কর্তৃপক্ষের কাছে পৌঁছায়।,"[((21, 24), 'জুলাই'), ((69, 69), 'ও'), ((71, 77), 'কলেজ')]"
কুমিল্লায় আগামীকাল রোববার সকাল-সন্ধ্যা হরতাল ডেকেছে কুমিল্লা দক্ষিণ জেলা বিএনপি।,কুমিল্লায় আগামীকাল রোববার সকাল-সন্ধ্যা হরতাল ডেকেছে কুমিল্লা দক্ষিণ জেলা বিএনপি।,কুমিল্লায় আগামীকাল রোববার সকাল-সন্ধ্যা হরতাল ডেকেছে কুমিল্লা দক্ষিণ জেলা বিএনপি।,[]
নতুন করে আর কিছু জানার কিংবা বোঝার নেই।,নতুন করে আর কিছু জানার কিংবা বোঝার নেই।,নতুন করে আর কিছু জানার কিংবা বোঝার নেই।,[]
সৃজনশীল কাজের স্বীকৃতি পাবেন।,সৃজনশীল কাজের স্বীকৃতি পাবেন।,সৃজনশীল কাজের স্বীকৃতি পাবেন।,[]
সেখানে তিনি তৃতীয় কোনো পরামর্শক প্রতিষ্ঠান দিয়ে ব্যয় যাচাই করার পরামর্শ দেন।,সেখানে তিনি তৃতীয় কোনো পরামর্শক প্রতিষ্ঠান দিয়ে ব্যয় যাচাই করার পরামর্শ দেন।,সেখানে তিনি তৃতীয় কোনো পরামর্শক প্রতিষ্ঠান দিয়ে ব্যয় যাচাই করার পরামর্শ দেন।,[]
"নিজেদের করণীয়প্রথমত , বাংলাদেশে সবকিছুই ঢাকাকেন্দ্রিক।","নিজেদের করণীয়প্রথমত , বাংলাদেশে সবকিছুই ঢাকাকেন্দ্রিক।","নিজেদের করণীয়প্রথমত , বাংলাদেশে সবকিছুই ঢাকাকেন্দ্রিক।",[]
"জাফলং চা-বাগানের ব্যবস্থাপক এস এম একরামুল কবীর জানান , এবার বোমা মেশিনগুলো একেবারে চা-বাগানের কাছাকাছি চলে আসায় বাগানের নিজস্ব ভূমি জরিপ করে দেখা গেছে প্রায় ৩০০ একর চা-ভূমি ধসে গেছে।","জাফলং চা-বাগানের ব্যবস্থাপক এস এম একরামুল কবীর জানান , $ebay$ বোমা মেশিনগুলো একেবারে চা-বাগানের কাছাকাছি চলে আসায় বাগানের নিজস্ব ভূমি জরিপ করে দেখা গেছে প্রায় ৩০০ একর চা-ভূমি ধসে গেছে।","জাফলং চা-বাগানের ব্যবস্থাপক এস এম একরামুল কবীর জানান , ebay বোমা মেশিনগুলো একেবারে চা-বাগানের কাছাকাছি চলে আসায় বাগানের নিজস্ব ভূমি জরিপ করে দেখা গেছে প্রায় ৩০০ একর চা-ভূমি ধসে গেছে।","[((55, 58), 'এবার')]"
২০১০ সালের নির্বাচনে লেবার পার্টির প্রধান হিসেবে অস্ট্রেলিয়ার প্রধানমন্ত্রী হন জুলিয়া গিলার্ড।,২০১০ সালের নির্বাচনে লেবার পার্টির প্রধান হিসেবে অস্ট্রেলিয়ার প্রধানমন্ত্রী হন জুলিয়া গিলার্ড।,২০১০ সালের নির্বাচনে লেবার পার্টির প্রধান হিসেবে অস্ট্রেলিয়ার প্রধানমন্ত্রী হন জুলিয়া গিলার্ড।,[]
"রাত সাড়ে নয়টার দিকে সমিতির পক্ষ থেকে সাংবাদিকদের জানানো হয় , ২০ অক্টোবরের মধ্যে উপাচার্যকে অপসারণ করা না হলে ২২ অক্টোবর থেকে বিশ্ববিদ্যালয়ে লাগাতার ধর্মঘট শুরু হবে।","রাত সাড়ে নয়টার দিকে সমিতির পক্ষ থেকে সাংবাদিকদের জানানো হয় , ২০ অক্টোবরের মধ্যে উপাচার্যকে অপসারণ করা $none$ হলে ২২ $october$ থেকে বিশ্ববিদ্যালয়ে লাগাতার ধর্মঘট শুরু হবে।","রাত সাড়ে নয়টার দিকে সমিতির পক্ষ থেকে সাংবাদিকদের জানানো হয় , ২০ অক্টোবরের মধ্যে উপাচার্যকে অপসারণ করা none হলে ২২ october থেকে বিশ্ববিদ্যালয়ে লাগাতার ধর্মঘট শুরু হবে।","[((105, 108), 'না'), ((117, 123), 'অক্টোবর')]"
কিন্তু কর্মকর্তা ছিলেন না।,কিন্তু কর্মকর্তা ছিলেন $none$।,কিন্তু কর্মকর্তা ছিলেন none।,"[((23, 26), 'না')]"
ফেরতও পাঠায় না।,ফেরতও পাঠায় $none$।,ফেরতও পাঠায় none।,"[((12, 15), 'না')]"
আগামী ২৪ জানুয়ারি থেকে কোয়ান্টিকো সিজন-২ এর প্রচার শুরু হওয়ার কথা রয়েছে।,আগামী ২৪ জানুয়ারি থেকে কোয়ান্টিকো সিজন-২ এর প্রচার শুরু $hour$ কথা রয়েছে।,আগামী ২৪ জানুয়ারি থেকে কোয়ান্টিকো সিজন-২ এর প্রচার শুরু hour কথা রয়েছে।,"[((56, 59), 'হওয়ার')]"
বিএনপির চেয়ারপারসন খালেদা জিয়ার একটি বক্তব্যকে আওয়ামী লীগ বিকৃত করছে বলে দাবি করেছেন বিএনপির ভারপ্রাপ্ত মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর।,বিএনপির চেয়ারপারসন খালেদা জিয়ার একটি বক্তব্যকে আওয়ামী লীগ বিকৃত করছে বলে দাবি করেছেন বিএনপির ভারপ্রাপ্ত মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর।,বিএনপির চেয়ারপারসন খালেদা জিয়ার একটি বক্তব্যকে আওয়ামী লীগ বিকৃত করছে বলে দাবি করেছেন বিএনপির ভারপ্রাপ্ত মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর।,[]
আদমদীঘি ( বগুড়া ) : উপজেলার ২৫টি গ্রামে নবান্ন উৎসবকে ঘিরে সকাল থেকে শুরু হয় নানা আয়োজন।,আদমদীঘি ( বগুড়া ) : উপজেলার ২৫টি গ্রামে নবান্ন উৎসবকে ঘিরে সকাল থেকে শুরু হয় নানা আয়োজন।,আদমদীঘি ( বগুড়া ) : উপজেলার ২৫টি গ্রামে নবান্ন উৎসবকে ঘিরে সকাল থেকে শুরু হয় নানা আয়োজন।,[]
এতে ঘটনাস্থলেই আজিজার মারা যান।,এতে ঘটনাস্থলেই আজিজার মারা $jan$।,এতে ঘটনাস্থলেই আজিজার মারা jan।,"[((27, 29), 'যান')]"
তবে এ ব্যাপারে কোনো আলোচনা করবে না বলে গতকাল জানিয়ে দিয়েছেন আন্দোলনকারীদের নেতা সুথেপ থাগসুবান।,তবে $e$ ব্যাপারে কোনো আলোচনা করবে $none$ বলে গতকাল জানিয়ে দিয়েছেন আন্দোলনকারীদের নেতা সুথেপ থাগসুবান।,তবে e ব্যাপারে কোনো আলোচনা করবে none বলে গতকাল জানিয়ে দিয়েছেন আন্দোলনকারীদের নেতা সুথেপ থাগসুবান।,"[((4, 4), 'এ'), ((32, 35), 'না')]"
"সাতলা গ্রামের মো . সিরাজ হাওলাদার জানান , গত বুধবার তাঁর বাড়িতে একটি গভীর নলকূপ বসানোর জন্য মিস্ত্রি কাজ শুরু করেন।","সাতলা গ্রামের মো . সিরাজ হাওলাদার জানান , $got$ বুধবার তাঁর বাড়িতে একটি গভীর নলকূপ বসানোর জন্য মিস্ত্রি কাজ শুরু করেন।","সাতলা গ্রামের মো . সিরাজ হাওলাদার জানান , got বুধবার তাঁর বাড়িতে একটি গভীর নলকূপ বসানোর জন্য মিস্ত্রি কাজ শুরু করেন।","[((42, 44), 'গত')]"
"সেখানকার পরিবেশের অবস্থা এখন কেমন ও সামনে তা রক্ষায় কী করতে হবে , তা বুঝতে এই সমীক্ষাটি করা হয়েছে।","সেখানকার পরিবেশের অবস্থা এখন কেমন $u$ সামনে তা রক্ষায় কী করতে হবে , তা বুঝতে এই সমীক্ষাটি করা হয়েছে।","সেখানকার পরিবেশের অবস্থা এখন কেমন u সামনে তা রক্ষায় কী করতে হবে , তা বুঝতে এই সমীক্ষাটি করা হয়েছে।","[((34, 34), 'ও')]"
চা-বিরতিতে যাওয়ার আগে ৬ উইকেটে ৬২০ রান করেছে ভারত।,চা-বিরতিতে যাওয়ার $ago$ ৬ উইকেটে ৬২০ $run$ করেছে ভারত।,চা-বিরতিতে যাওয়ার ago ৬ উইকেটে ৬২০ run করেছে ভারত।,"[((18, 20), 'আগে'), ((35, 37), 'রান')]"
তুরস্ক সাংবিধানিকভাবে ধর্মনিরপেক্ষ দেশ।,তুরস্ক সাংবিধানিকভাবে ধর্মনিরপেক্ষ $days$।,তুরস্ক সাংবিধানিকভাবে ধর্মনিরপেক্ষ days।,"[((35, 38), 'দেশ')]"
"আর সেই ছবিতে কেউ যদি অভিনয় করে , সেটা হচ্ছে জয়া।","আর $see$ ছবিতে কেউ যদি অভিনয় করে , সেটা হচ্ছে জয়া।","আর see ছবিতে কেউ যদি অভিনয় করে , সেটা হচ্ছে জয়া।","[((3, 5), 'সেই')]"
"সাত . খুব বেশি শ্বাসকষ্ট , তার সঙ্গে বুক ধড়ফড় , অনিয়মিত হৃৎস্পন্দন , সারা শরীরে পানি আসা , নিস্তেজ বোধ করা বা বুকে ব্যথা হলে দ্রুত চিকিৎসকের শরণাপন্ন হোন।","সাত . খুব বেশি শ্বাসকষ্ট , তার সঙ্গে $book$ ধড়ফড় , অনিয়মিত হৃৎস্পন্দন , সারা শরীরে পানি আসা , নিস্তেজ বোধ করা $b$ বুকে ব্যথা হলে দ্রুত চিকিৎসকের শরণাপন্ন হোন।","সাত . খুব বেশি শ্বাসকষ্ট , তার সঙ্গে book ধড়ফড় , অনিয়মিত হৃৎস্পন্দন , সারা শরীরে পানি আসা , নিস্তেজ বোধ করা b বুকে ব্যথা হলে দ্রুত চিকিৎসকের শরণাপন্ন হোন।","[((37, 40), 'বুক'), ((108, 108), 'বা')]"
ইন্টারনেট ব্যবহারের এই সহজ প্রক্রিয়া চালু তারই প্রমাণ।,$internet$ ব্যবহারের এই সহজ প্রক্রিয়া চালু তারই প্রমাণ।,internet ব্যবহারের এই সহজ প্রক্রিয়া চালু তারই প্রমাণ।,"[((0, 7), 'ইন্টারনেট')]"
তাৎক্ষণিকভাবে গ্যাস ও বিদ্যুতের সরবরাহ বন্ধ রাখা হয়েছে।,তাৎক্ষণিকভাবে গ্যাস $u$ বিদ্যুতের সরবরাহ বন্ধ রাখা হয়েছে।,তাৎক্ষণিকভাবে গ্যাস u বিদ্যুতের সরবরাহ বন্ধ রাখা হয়েছে।,"[((20, 20), 'ও')]"
"কমপক্ষে একটি অক্সিজেন সিলিন্ডার , একটি সাকার মেশিন , বাচ্চার হৃৎস্পন্দন শোনার জন্য ডপলার ( প্রতিষ্ঠানগুলোতে সিটিজি ) মেশিন থাকতে হবে।","কমপক্ষে একটি অক্সিজেন সিলিন্ডার , একটি সাকার মেশিন , বাচ্চার হৃৎস্পন্দন শোনার জন্য ডপলার ( প্রতিষ্ঠানগুলোতে সিটিজি ) মেশিন থাকতে হবে।","কমপক্ষে একটি অক্সিজেন সিলিন্ডার , একটি সাকার মেশিন , বাচ্চার হৃৎস্পন্দন শোনার জন্য ডপলার ( প্রতিষ্ঠানগুলোতে সিটিজি ) মেশিন থাকতে হবে।",[]
ফান্ডের অভাবে ফেডারেশন শুধু বিমান ভাড়াটা দিয়েছে।,ফান্ডের অভাবে ফেডারেশন শুধু বিমান ভাড়াটা দিয়েছে।,ফান্ডের অভাবে ফেডারেশন শুধু বিমান ভাড়াটা দিয়েছে।,[]
"বিএনপির জ্যেষ্ঠ যুগ্ম মহাসচিব রুহুল কবির রিজভী বলেছেন , ওবায়দুল কাদেরের কথা শুনে সারা জাতি বিস্ময়ে বাক্যহারা।","বিএনপির জ্যেষ্ঠ যুগ্ম মহাসচিব রুহুল কবির রিজভী বলেছেন , ওবায়দুল কাদেরের কথা শুনে সারা জাতি বিস্ময়ে বাক্যহারা।","বিএনপির জ্যেষ্ঠ যুগ্ম মহাসচিব রুহুল কবির রিজভী বলেছেন , ওবায়দুল কাদেরের কথা শুনে সারা জাতি বিস্ময়ে বাক্যহারা।",[]
"জঙ্গি হামলার আশঙ্কায় পুলিশ গতকাল রোববার থেকে নিরাপত্তা জোরদার করার পাশাপাশি রথযাত্রা উপলক্ষে আয়োজিত মেলার দোকানপাট , সার্কাস ও পুতুলনাচ বন্ধ করে দেয়।","জঙ্গি হামলার আশঙ্কায় পুলিশ গতকাল রোববার থেকে নিরাপত্তা জোরদার করার পাশাপাশি রথযাত্রা উপলক্ষে আয়োজিত মেলার দোকানপাট , সার্কাস $u$ পুতুলনাচ বন্ধ করে দেয়।","জঙ্গি হামলার আশঙ্কায় পুলিশ গতকাল রোববার থেকে নিরাপত্তা জোরদার করার পাশাপাশি রথযাত্রা উপলক্ষে আয়োজিত মেলার দোকানপাট , সার্কাস u পুতুলনাচ বন্ধ করে দেয়।","[((125, 125), 'ও')]"
এতিমের টাকা মেরে খেয়েছেন।,এতিমের টাকা মেরে খেয়েছেন।,এতিমের টাকা মেরে খেয়েছেন।,[]
১৭টি লক্ষ্যমাত্রা নিয়েই ওপেন ওয়ার্কিং গ্রুপের আলোচনা চলছে।,১৭টি লক্ষ্যমাত্রা নিয়েই $open$ $working$ গ্রুপের আলোচনা চলছে।,১৭টি লক্ষ্যমাত্রা নিয়েই open working গ্রুপের আলোচনা চলছে।,"[((24, 27), 'ওপেন'), ((29, 35), 'ওয়ার্কিং')]"
এখন মহাসমারোহে করা হচ্ছে।,এখন মহাসমারোহে করা হচ্ছে।,এখন মহাসমারোহে করা হচ্ছে।,[]
"তিনি বলেন , যারা বাসে আগুন দিয়ে নৃশংসভাবে মানুষ হত্যা করছে তারা জঙ্গি ও সন্ত্রাসী।","তিনি বলেন , যারা বাসে আগুন দিয়ে নৃশংসভাবে মানুষ হত্যা করছে তারা জঙ্গি $u$ সন্ত্রাসী।","তিনি বলেন , যারা বাসে আগুন দিয়ে নৃশংসভাবে মানুষ হত্যা করছে তারা জঙ্গি u সন্ত্রাসী।","[((71, 71), 'ও')]"
তারপর ওই সম্মান দেওয়া হয় অটল বিহারী বাজপেয়ি ও প্রণব মুখার্জিকে।,তারপর ওই সম্মান দেওয়া হয় অটল বিহারী বাজপেয়ি $u$ প্রণব মুখার্জিকে।,তারপর ওই সম্মান দেওয়া হয় অটল বিহারী বাজপেয়ি u প্রণব মুখার্জিকে।,"[((44, 44), 'ও')]"
"প্রতিবাদ না হওয়ার প্রধান কারণ , যৌন নির্যাতনের সব দোষ নারীকে দেওয়া হয়।","প্রতিবাদ $none$ $hour$ প্রধান কারণ , যৌন নির্যাতনের সব দোষ নারীকে দেওয়া হয়।","প্রতিবাদ none hour প্রধান কারণ , যৌন নির্যাতনের সব দোষ নারীকে দেওয়া হয়।","[((9, 12), 'না'), ((14, 17), 'হওয়ার')]"
"কারণ , বিয়ে কোনো মহড়া বা পরীক্ষার বিষয় নয়।","কারণ , বিয়ে কোনো মহড়া $b$ পরীক্ষার বিষয় $ny$।","কারণ , বিয়ে কোনো মহড়া b পরীক্ষার বিষয় ny।","[((22, 22), 'বা'), ((38, 39), 'নয়')]"
"এনডিটিভি , উইকিপিডিয়া অবলম্বনে।","এনডিটিভি , উইকিপিডিয়া অবলম্বনে।","এনডিটিভি , উইকিপিডিয়া অবলম্বনে।",[]
একটি বাসকে থামানোর জন্য সংকেত দেন।,একটি বাসকে থামানোর জন্য সংকেত দেন।,একটি বাসকে থামানোর জন্য সংকেত দেন।,[]
এখনো চক্রান্ত চলছে।,এখনো চক্রান্ত চলছে।,এখনো চক্রান্ত চলছে।,[]
তাঁর বিরুদ্ধে হত্যা মামলা হয়েছে।,তাঁর বিরুদ্ধে হত্যা মামলা হয়েছে।,তাঁর বিরুদ্ধে হত্যা মামলা হয়েছে।,[]
জাতিসংঘের অপ্রকাশিত তদন্ত প্রতিবেদনের উদ্ধৃতি দিয়ে তিনি এসব কথা বলেন।,জাতিসংঘের অপ্রকাশিত তদন্ত প্রতিবেদনের উদ্ধৃতি দিয়ে তিনি এসব কথা বলেন।,জাতিসংঘের অপ্রকাশিত তদন্ত প্রতিবেদনের উদ্ধৃতি দিয়ে তিনি এসব কথা বলেন।,[]
মন্ত্রণালয়ের এক বিজ্ঞপ্তিতে এ কথা জানানো হয়েছে।,মন্ত্রণালয়ের এক বিজ্ঞপ্তিতে $e$ কথা জানানো হয়েছে।,মন্ত্রণালয়ের এক বিজ্ঞপ্তিতে e কথা জানানো হয়েছে।,"[((29, 29), 'এ')]"
এই তারিখে জন্মগ্রহণ করায় পাশ্চাত্যমতে আপনি কর্কট রাশির জাতক বা জাতিকা।,এই তারিখে জন্মগ্রহণ করায় পাশ্চাত্যমতে আপনি কর্কট রাশির জাতক $b$ জাতিকা।,এই তারিখে জন্মগ্রহণ করায় পাশ্চাত্যমতে আপনি কর্কট রাশির জাতক b জাতিকা।,"[((60, 60), 'বা')]"
ভবনটি আবাসিক হলেও এর নিচে বাণিজ্যিক প্রতিষ্ঠানের জন্য ভাড়া দেওয়া হয়েছে বলে শনাক্ত করেছেন রাজউকের কর্মকর্তারা।,ভবনটি আবাসিক হলেও এর নিচে বাণিজ্যিক প্রতিষ্ঠানের জন্য ভাড়া দেওয়া হয়েছে বলে শনাক্ত করেছেন রাজউকের কর্মকর্তারা।,ভবনটি আবাসিক হলেও এর নিচে বাণিজ্যিক প্রতিষ্ঠানের জন্য ভাড়া দেওয়া হয়েছে বলে শনাক্ত করেছেন রাজউকের কর্মকর্তারা।,[]
প্রথম আলো : আপনাকে ধন্যবাদ।,প্রথম আলো : আপনাকে ধন্যবাদ।,প্রথম আলো : আপনাকে ধন্যবাদ।,[]
১৯টি ম্যাচ হেরে ক্যারিয়ারের বাজে একটা বছর কাটাচ্ছেন রাফায়েল নাদাল।,১৯টি ম্যাচ হেরে ক্যারিয়ারের বাজে একটা বছর কাটাচ্ছেন রাফায়েল নাদাল।,১৯টি ম্যাচ হেরে ক্যারিয়ারের বাজে একটা বছর কাটাচ্ছেন রাফায়েল নাদাল।,[]
"কত ম্যাচ খেলে , কত পথ পাড়ি দিয়ে এই পর্যন্ত এসেছি।","কত ম্যাচ খেলে , কত পথ পাড়ি দিয়ে এই পর্যন্ত এসেছি।","কত ম্যাচ খেলে , কত পথ পাড়ি দিয়ে এই পর্যন্ত এসেছি।",[]
এ জন্য এক সপ্তাহের সময় চান তাঁরা।,$e$ জন্য এক সপ্তাহের $sony$ চান তাঁরা।,e জন্য এক সপ্তাহের sony চান তাঁরা।,"[((0, 0), 'এ'), ((19, 22), 'সময়')]"
"অপরাধী ধরার জন্য যাদের বেতন দিয়ে রাখা হয়েছে , সেই পুলিশই আশকারা দিচ্ছে।","অপরাধী ধরার জন্য যাদের বেতন দিয়ে রাখা হয়েছে , $see$ পুলিশই আশকারা দিচ্ছে।","অপরাধী ধরার জন্য যাদের বেতন দিয়ে রাখা হয়েছে , see পুলিশই আশকারা দিচ্ছে।","[((46, 48), 'সেই')]"
কিন্তু হাইকোর্টের ওই নির্দেশের কয়েক ঘণ্টার মধ্যে লাখভির বিরুদ্ধে ইসলামাবাদে অপহরণের মামলা করা হয়।,কিন্তু হাইকোর্টের ওই নির্দেশের কয়েক ঘণ্টার মধ্যে লাখভির বিরুদ্ধে ইসলামাবাদে অপহরণের মামলা করা হয়।,কিন্তু হাইকোর্টের ওই নির্দেশের কয়েক ঘণ্টার মধ্যে লাখভির বিরুদ্ধে ইসলামাবাদে অপহরণের মামলা করা হয়।,[]
"অভিনেতারা যেখানে হিমু কিংবা দেয়াল-এর চরিত্রের ছাঁচে নিজেদের বসাচ্ছেন , সেখানে অভিনেত্রীরাই বা পিছিয়ে থাকবেন কেন ? রবীন্দ্রনাথের রক্তকরবীর নন্দিনী চরিত্রের অভিনেত্রী অপি করিম জানান , তাঁর ইচ্ছার তালিকা বিশাল।","অভিনেতারা যেখানে হিমু কিংবা দেয়াল-এর চরিত্রের ছাঁচে নিজেদের বসাচ্ছেন , সেখানে অভিনেত্রীরাই $b$ পিছিয়ে থাকবেন কেন ? রবীন্দ্রনাথের রক্তকরবীর নন্দিনী চরিত্রের অভিনেত্রী অপি করিম জানান , তাঁর ইচ্ছার তালিকা বিশাল।","অভিনেতারা যেখানে হিমু কিংবা দেয়াল-এর চরিত্রের ছাঁচে নিজেদের বসাচ্ছেন , সেখানে অভিনেত্রীরাই b পিছিয়ে থাকবেন কেন ? রবীন্দ্রনাথের রক্তকরবীর নন্দিনী চরিত্রের অভিনেত্রী অপি করিম জানান , তাঁর ইচ্ছার তালিকা বিশাল।","[((91, 91), 'বা')]"
৬৫ ইঞ্চি টিভির দাম ১ লাখ ৯৯ হাজার ৯০০ টাকা।,৬৫ ইঞ্চি টিভির দাম ১ লাখ ৯৯ হাজার ৯০০ টাকা।,৬৫ ইঞ্চি টিভির দাম ১ লাখ ৯৯ হাজার ৯০০ টাকা।,[]
"স্বরাষ্ট্র মন্ত্রণালয়ের বৈঠকের সঙ্গে সংশ্লিষ্ট একটি সূত্র প্রথম আলোকে জানায় , বৈঠকে নিরাপত্তার ব্যাপারে বেশকিছু গুরুত্বপূর্ণ সিদ্ধান্ত হয়েছে।","স্বরাষ্ট্র মন্ত্রণালয়ের বৈঠকের সঙ্গে সংশ্লিষ্ট একটি সূত্র প্রথম আলোকে জানায় , বৈঠকে নিরাপত্তার ব্যাপারে বেশকিছু গুরুত্বপূর্ণ সিদ্ধান্ত হয়েছে।","স্বরাষ্ট্র মন্ত্রণালয়ের বৈঠকের সঙ্গে সংশ্লিষ্ট একটি সূত্র প্রথম আলোকে জানায় , বৈঠকে নিরাপত্তার ব্যাপারে বেশকিছু গুরুত্বপূর্ণ সিদ্ধান্ত হয়েছে।",[]
তাই নিউজিল্যান্ডের ছুড়ে দেওয়া ৩৩২ রানের পর্বতসমান লক্ষ্যে পৌঁছাতে হলে অভাবনীয় কিছু করে দেখাতে হতো লঙ্কানদের।,তাই নিউজিল্যান্ডের ছুড়ে দেওয়া ৩৩২ রানের পর্বতসমান লক্ষ্যে পৌঁছাতে হলে অভাবনীয় কিছু করে দেখাতে হতো লঙ্কানদের।,তাই নিউজিল্যান্ডের ছুড়ে দেওয়া ৩৩২ রানের পর্বতসমান লক্ষ্যে পৌঁছাতে হলে অভাবনীয় কিছু করে দেখাতে হতো লঙ্কানদের।,[]
ঘূর্ণিঝড়ের প্রভাবে উত্তর বঙ্গোপসাগর ও তৎসংলগ্ন বাংলাদেশের উপকূলীয় এলাকায় ও সমুদ্রবন্দরগুলোর ওপর দিয়ে ঝোড়ো হাওয়া ও বৃষ্টি অব্যাহত থাকতে পারে।,ঘূর্ণিঝড়ের প্রভাবে উত্তর বঙ্গোপসাগর $u$ তৎসংলগ্ন বাংলাদেশের উপকূলীয় এলাকায় $u$ সমুদ্রবন্দরগুলোর ওপর দিয়ে ঝোড়ো হাওয়া $u$ বৃষ্টি অব্যাহত থাকতে পারে।,ঘূর্ণিঝড়ের প্রভাবে উত্তর বঙ্গোপসাগর u তৎসংলগ্ন বাংলাদেশের উপকূলীয় এলাকায় u সমুদ্রবন্দরগুলোর ওপর দিয়ে ঝোড়ো হাওয়া u বৃষ্টি অব্যাহত থাকতে পারে।,"[((36, 36), 'ও'), ((73, 73), 'ও'), ((112, 112), 'ও')]"
পরে এক শিক্ষার্থীর অভিভাবক আবদুস সালামের বিরুদ্ধে যৌন নিপীড়নের অভিযোগে মামলা করলে তাঁকে গ্রেপ্তার দেখায় পুলিশ।,পরে এক শিক্ষার্থীর অভিভাবক আবদুস সালামের বিরুদ্ধে $join$ নিপীড়নের অভিযোগে মামলা করলে তাঁকে গ্রেপ্তার দেখায় পুলিশ।,পরে এক শিক্ষার্থীর অভিভাবক আবদুস সালামের বিরুদ্ধে join নিপীড়নের অভিযোগে মামলা করলে তাঁকে গ্রেপ্তার দেখায় পুলিশ।,"[((50, 53), 'যৌন')]"
