,gt_x,gt_y,diff
3570,বোষ্টনের সকলকে$$ আমার ভালবাসা জানাবেন।,বোষ্টনের সকলকে আমার ভালবাসা জানাবেন।,True
3584,"সবুজ পাতার ফাঁকে $ফুটল, বেলী$ থোকা $থোকাছিঁড়ে$ নিতে হাতের মুঠোয়$,$ হাত বাড়ালো খোকা।","সবুজ পাতার ফাঁকে ফুটল$,$ বেলী থোকা $থোকাছিঁড়ে$ নিতে হাতের মুঠোয়, হাত বাড়ালো খোকা।",True
3610,$–$সে$$ই $পরমাসুন্দরী$ কন্যা!,$–$$সেই$ $পরমাসুন্দরী$ কন্যা!,True
3623,অত উত্তেজিত $হোয়ো$ না।,$অত$ উত্তেজিত $হোয়ো$ না।,True
3627,"এটাও তাদের নিজস্ব একটা বড় ষড়যন্ত্র$,$ এমন$$ ও হতে পারে দলে দলে যোগদান করে তারা কক্সবাজার এবং এর আশেপাশের জেলাগুলো দখল করতে চায়।","এটাও তাদের নিজস্ব একটা বড় ষড়যন্ত্র$,$ $এমন ও$ হতে পারে দলে দলে যোগদান করে তারা কক্সবাজার এবং এর আশেপাশের জেলাগুলো দখল করতে চায়।",True
3632,তাকে ক্ষমা করবার অধিকার কি ঈশ্বর আমাদের দিয়েছেন?,তাকে ক্ষমা $করবার$ অধিকার $কি$ ঈশ্বর আমাদের দিয়েছেন?,True
3636,তিনি পালনাথ নামক এক যোগীর সঙ্গে সোয়াট উপত্যকা$$ $পৌঁছন$।,তিনি পালনাথ নামক এক যোগীর সঙ্গে সোয়াট $উপত্যকা$ $পৌঁছন$।,True
3648,তো তুমিই সেই লোক$।,তো তুমিই সেই লোক।,True
3665,জুজদানে বাংলাভাষার$ কোন$ দানছত্রের ভেতরও আশ্রয় নিতে পারেনি।,জুজদানে বাংলাভাষার $কোন$ দানছত্রের ভেতরও আশ্রয় নিতে পারেনি।,True
3666,"জাতীয় পার্টির চেয়ারম্যান এইচ এম এরশাদ বলেন, '২৫ মার্চ রাতে বাঙালি জাতিকে নিশ্চিহ্ন করে দিতে চেয়েছিল বলেই আমরা একে গণহত্যা বলি।","জাতীয় পার্টির চেয়ারম্যান এইচ এম এরশাদ বলেন, '২৫ মার্চ রাতে বাঙালি জাতিকে নিশ্চিহ্ন করে দিতে চেয়েছিল বলেই আমরা একে গণহত্যা বলি।$$",True
3667,"$দেখিতে$ $পাইল$, সে $নিদ্রিত$ অবস্থায় $উপর$ $হইতে$ নিচে $নামিয়া$ $আসিয়া ছিল$।","$দেখিতে$ $পাইল$, সে $নিদ্রিত$ অবস্থায় $উপর$ $হইতে$ নিচে $নামিয়া$ $আসিয়া$ ছিল।",True
3674,কথা বলার সময় $হুস$ ছিলো না $কি$ $বলতেছিলেন$।,কথা বলার সময় $হুস$ $ছিলো$ না $কি$ $বলতেছিলেন$।,True
3675,তবে আজ বঙ্গবন্ধু স্টেডিয়ামে নিজেদের সেভাবে তুলে ধরতে পারেনি মুক্তিযোদ্ধা$$।,তবে আজ বঙ্গবন্ধু স্টেডিয়ামে নিজেদের সেভাবে তুলে ধরতে পারেনি মুক্তিযোদ্ধা।,True
3683,"কারণ$$ তারা মনে করবে, কাবাডি খেলার জন্য এখন ভালো একটা প্ল্যাটফর্ম আছে।","কারণ তারা মনে করবে, কাবাডি খেলার জন্য এখন ভালো একটা প্ল্যাটফর্ম আছে।",True
3704,"এখন শাসক দলের পক্ষ থেকে বলা হচ্ছে, ‘পারলে খালেদা জিয়াকে আন্দোলন করে মুক্ত করে নেন।","এখন শাসক দলের পক্ষ থেকে বলা হচ্ছে, ‘পারলে খালেদা জিয়াকে আন্দোলন করে মুক্ত করে নেন।$$",True
3712,কিন্তু তাঁরা তাদের অর্থনীতি যুক্তরাষ্ট্রের $দয়া দাক্ষিণ্যে$ চলবে$$ এমন করে তৈরি করেননি।,কিন্তু তাঁরা তাদের অর্থনীতি যুক্তরাষ্ট্রের $দয়া দাক্ষিণ্যে$ চলবে এমন করে তৈরি করেননি।,True
3713,$কখনোবা$ একজন স্পিনার লেগ তত্ত্ব$ অনুসারে বোলিং করে থাকেন এবং লেগ সাইডে সাতজন ফিল্ডারকে দাঁড় করান।,$কখনোবা$ একজন স্পিনার লেগ তত্ত্ব অনুসারে বোলিং করে থাকেন এবং লেগ সাইডে সাতজন ফিল্ডারকে দাঁড় করান।,True
3715,"$বন্ধূরা$: কেউ কেউ আসবে, কেউ আসবে না, $দুএকজন$ $একসপ্তাহ$ মনে রাখবে, এরপর সারাবছরেও মনে রাখবে না।","$বন্ধূরা:$ কেউ কেউ আসবে, কেউ আসবে না, $দুএকজন$ $একসপ্তাহ$ মনে রাখবে, এরপর সারাবছরেও মনে রাখবে না।",True
3759,"তুমি যে-কাজই $কর$ না কেন, তোমার পক্ষে বেদান্তের প্রয়োজন।","তুমি $যে-কাজই$ $কর$ না কেন, তোমার পক্ষে বেদান্তের প্রয়োজন।",True
3763,"পুরো ঘটনাটা যে$-$প্রতিবেশী মহিলা দেখেছিলেন, তার সম্পূর্ণ ভিন্ন মত ছিল।","পুরো ঘটনাটা $যে-প্রতিবেশী$ মহিলা দেখেছিলেন, তার সম্পূর্ণ ভিন্ন মত ছিল।",True
3768,"এরিক আমার দিকে ঝুকে এসে $বলল-আমি$ যদি বলি, এই দুজনের যে প্রেমিকা ছিল আর আপনার যে বর্তমান প্রেমিকা আছে তারা একই জন তাহলে কি বিশ্বাস করবেন$$?","এরিক আমার দিকে $ঝুকে$ এসে বলল$-$আমি যদি বলি, এই দুজনের যে প্রেমিকা ছিল আর আপনার যে বর্তমান প্রেমিকা আছে তারা একই জন তাহলে কি বিশ্বাস করবেন?",True
3769,"নাইজেল, আপনাকে একটা প্রশ্ন করি$।","নাইজেল, আপনাকে একটা প্রশ্ন করি।",True
3770,"কতো কষ্ট করে লাবণীকে পটালাম, সে কী করে বাহ্বা নেয়ার জন্য লাবণীকে সব কিছু বলে দিতে পারল, বল!","কতো কষ্ট করে লাবণীকে পটালাম, সে কী করে $বাহ্বা$ নেয়ার জন্য লাবণীকে সব কিছু বলে দিতে পারল, বল!",True
3788,"যোগেন্দ্র চৌকিতে $বসিয়া-পড়িয়া$ $কহিল$, ভালো $দেখাইবার$ তো কথা নয়$।","যোগেন্দ্র চৌকিতে $বসিয়া-পড়িয়া$ $কহিল$, ভালো $দেখাইবার$ তো কথা $নয়$।",True
3795,জাহেদ খান কোন চ্যাটের বাল? তাকে কয়জন লোক চিনে$$ জাহেদ খানের চেয়ে বেশি ভক্ত $।,জাহেদ খান কোন চ্যাটের বাল? তাকে কয়জন লোক চিনে$$ জাহেদ খানের চেয়ে বেশি ভক্ত $।$,True
3805,$আপনারতো$ আর টাকা লাগে না $খাইতে$ভ $।,$আপনারতো$ আর টাকা লাগে না $খাইতে$ভ $।$,True
3825,আশা$$করা যায় প্রাকৃতিক দূর্যোগে ক্ষতিগ্রস্ত না হলে এ বছর ধানের বাম্পার ফলন হবে।,$আশাকরা$ যায় প্রাকৃতিক দূর্যোগে ক্ষতিগ্রস্ত না হলে এ বছর ধানের বাম্পার ফলন হবে।,True
3839,"ক্যাপ্টেন রাফি $বললো,-$$$নাজিম, আমার ছেলেরা সবখান থেকে আপনাকে ঘিরে রেখেছে!$$","ক্যাপ্টেন রাফি $বললো$$,-$নাজিম, আমার ছেলেরা সবখান থেকে আপনাকে ঘিরে রেখেছে$!$",True
3864,মূল ভিনাইলের $উপর$ ট্র্যাক দীর্ঘ বা ছোট হওয়ার $কোন$ রিপোর্ট নেই।,মূল ভিনাইলের $উপর$ ট্র্যাক দীর্ঘ বা $ছোট$ হওয়ার $কোন$ রিপোর্ট নেই।,True
3869,"নইলে$,$ জাতীয় অধ্যাপক সরকারকে দাবী মানতে বাধ্য করার বিষয়টি বিবেচনা না করে, শিক্ষকদের আশ্বাস $খাওয়াতে$ গেলেন কেন$।","নইলে$,$ জাতীয় অধ্যাপক সরকারকে দাবী মানতে বাধ্য করার বিষয়টি বিবেচনা না করে, শিক্ষকদের আশ্বাস $খাওয়াতে$ গেলেন কেন$।$",True
3884,সবই $বুজলাম$ কিন্তু এই $প্রেজেন্টেটর$ এত সুন্দর কেন$ $? সেটাই তো $বুজলাম$ না$$$.$,সবই $বুজলাম$ কিন্তু এই প্রেজেন্টেটর এত সুন্দর কেন ? সেটাই তো $বুজলাম$ না$.$,True
3926,কেননা আপনি লিখেছেন 'যদি ভুল করে থাকেন এর মানে হচ্ছে-পরকালকে অস্বীকার করে আপনি ভুল করেছেন এটা আপনি মানতে নারাজ।,কেননা আপনি লিখেছেন 'যদি ভুল করে থাকেন এর মানে হচ্ছে-পরকালকে অস্বীকার করে আপনি ভুল করেছেন$$ $$এটা আপনি মানতে নারাজ।,True
3933,এমন সময়ে $হাঠাত$ ম্যানেজার $আসিয়া হাজির$।,এমন সময়ে $হাঠাত$ ম্যানেজার $আসিয়া$ হাজির।,True
3934,"ক্রমাগত অন্তরের অন্তরে $যাইয়া$ মহাপুরুষেরা $দেখিতে পাইলেন$, জীবাত্মার গভীরতম প্রদেশেই সমুদয় ব্রহ্মাণ্ডের কেন্দ্র।","ক্রমাগত অন্তরের অন্তরে $যাইয়া$ মহাপুরুষেরা $দেখিতে$ $পাইলেন$, জীবাত্মার গভীরতম প্রদেশেই সমুদয় ব্রহ্মাণ্ডের কেন্দ্র।",True
3937,"সরেজমিনে দেখা গেছে, কেশবপুরের হাবাসপোল এলাকার$$ হাজিরা খাতুনের মাটির ঘরের কোনো চিহ্ন নেই।","সরেজমিনে দেখা গেছে, কেশবপুরের হাবাসপোল $এলাকার$ হাজিরা খাতুনের মাটির ঘরের কোনো চিহ্ন নেই।",True
3955,সাবেক সচিব নূরুদ্দিন আহমদের আত্মজীবনী$$ জীবনের বনে বনে-তে তাঁর সম্পর্কে তথ্য রয়েছে।,সাবেক সচিব নূরুদ্দিন আহমদের আত্মজীবনী $$জীবনের বনে বনে$$-তে তাঁর সম্পর্কে তথ্য রয়েছে।,True
3961,"$খুকী$, প্লিজ$।","$খুকী$, প্লিজ।",True
3977,ঘুমাতে যাবে$$ না$$কি না?,ঘুমাতে যাবে $নাকি$ না?,True
3982,বেলকনির গ্রীল ছুঁয়ে আসা বাতাস কিংবা মাথার উপর ঘুরতে থাকা একঘেয়ে পাখার বাতাসটাও মনে হবে ফ্রীজের বরফ ভেঙে ভেঙে $তোমার মুখের উপর অসহনীয় হয়ে$ $ঝড়ে$ পড়ছে।,বেলকনির গ্রীল ছুঁয়ে আসা বাতাস কিংবা মাথার উপর ঘুরতে থাকা একঘেয়ে পাখার বাতাসটাও মনে হবে ফ্রীজের বরফ ভেঙে ভেঙে তোমার মুখের উপর অসহনীয় হয়ে $ঝড়ে$ পড়ছে।,True
4019,"কিন্তু এটা এখন $জানি বুঝি$, তখন?","কিন্তু এটা এখন জানি $$বুঝি, তখন?",True
4022,"ওর দিকে চোখ তুলে তাকিয়ে $বলল,-তুমি$$$","ওর দিকে চোখ তুলে তাকিয়ে বলল$,-$তুমি$$",True
4046,জেনে শুনে এটা নিতে পারি$$না।,জেনে শুনে এটা নিতে $পারিনা$।,True
4052,অর্থাৎ$$ কৃষি সম্প্রসারণকর্মী কৃষকের মাঠে দাঁড়িয়েই তাৎক্ষণিকভাবে কৃষককে সঠিক পরামর্শ দিতে পারবেন।,অর্থাৎ কৃষি সম্প্রসারণকর্মী কৃষকের মাঠে দাঁড়িয়েই তাৎক্ষণিকভাবে কৃষককে সঠিক পরামর্শ দিতে পারবেন।,True
4061,নিশীথিনী করে ধ্বংস গড়ো$$ মাটির নতুন পৃথিবী আনো$$ এ $ধূলির$ $জগতেকিছু$ নতুনত্বের সৃষ্টি$$।,নিশীথিনী করে ধ্বংস গড়ো$$ মাটির নতুন পৃথিবী আনো$$ এ $ধূলির$ $জগতেকিছু$ নতুনত্বের সৃষ্টি।,True
4066,তারপর $বলল-তুমি$?$$,তারপর বলল$-$তুমি?,True
4081,ক্লাশ থ্রিতে $উঠার$ $আগ$ পর্যন্ত $এমনি$ ছিল আমার দুপুরগুলো।,ক্লাশ থ্রিতে $উঠার$ আগ পর্যন্ত $এমনি$ ছিল আমার দুপুরগুলো।,True
4086,"আরে, বুঝতে পারছো না?","আরে, বুঝতে $পারছো$ না?",True
4114,যা গিয়ে গোসল করে আয়।,যা গিয়ে গোসল করে $আয়$।,True
4115,"ছোটবেলা থেকেই ছেলে ও মেয়েদের আলাদা রাখা হয়$,$ আলাদা খেলা, আলাদা শোয়া, আলাদা খাবার, আলাদা সুবিধা$..।","ছোটবেলা থেকেই ছেলে ও মেয়েদের আলাদা রাখা হয়$,$ আলাদা খেলা, আলাদা শোয়া, আলাদা খাবার, আলাদা সুবিধা$..।$",True
4137,"জানতে চাইলে জঙ্গিবাদ নিয়ন্ত্রণে গঠিত কাউন্টার টেরোরিজম অ্যান্ড ট্রান্স ন্যাশনাল ক্রাইম ইউনিট (সিটিটিসি) প্রধান ডিএমপির অতিরিক্ত কমিশনার মো. মনিরুল ইসলাম যুগান্তরকে বলেন, নিউ জেএমবির উল্লিখিত পরিকল্পনার বিষয়টি$$ আমরা অবহিত।","জানতে চাইলে জঙ্গিবাদ নিয়ন্ত্রণে গঠিত কাউন্টার টেরোরিজম অ্যান্ড ট্রান্স ন্যাশনাল ক্রাইম ইউনিট (সিটিটিসি) প্রধান ডিএমপির অতিরিক্ত কমিশনার মো. মনিরুল ইসলাম যুগান্তরকে বলেন, নিউ জেএমবির উল্লিখিত পরিকল্পনার বিষয়টি আমরা অবহিত।",True
4176,ইহাই হইবে ভবিষ্যতের সর্বজনীন ধর্ম।,$ইহাই$ হইবে ভবিষ্যতের সর্বজনীন ধর্ম।,True
4212,দেখেন$$ শাশুড়ি আম্মা$।,দেখেন$$ শাশুড়ি আম্মা।,True
4223,"তুমি নাস্তিক হয়ে হয়ে গেছ, তাই $তুমাকে$  তওবা করতে হবে।","তুমি নাস্তিক হয়ে হয়ে $গেছ$, তাই $তুমাকে$  তওবা করতে হবে।",True
4226,"দুনিয়াতে হক্কানী পীর তথা ওস্তাদ কেয়ামত পর্যন্ত থাকবে, অন্যতায় আমরা যারা (জাগতিক শিক্ষায় শিক্ষিত) কোরান হাদিসের জ্ঞান অর্জন করি নাই অথচ জান্নাত পাইতে চাই তাহলে সহীহ আমলের তালিমের জন্য কোথায়, কার কাছে যাব?","দুনিয়াতে হক্কানী পীর তথা ওস্তাদ কেয়ামত পর্যন্ত থাকবে, $অন্যতায়$ আমরা যারা (জাগতিক শিক্ষায় শিক্ষিত) $কোরান$ হাদিসের জ্ঞান অর্জন করি নাই অথচ জান্নাত পাইতে চাই তাহলে সহীহ আমলের তালিমের জন্য কোথায়, কার কাছে যাব?",True
4254,আর তোমার সেই ভুবনমোহন পূর্ণযৌবনের রূপ $রজনীর$ অন্ধকারপটের $উপরে$ জাজ্বল্যমান $হইয়া ফুটিয়া উঠিয়াছে$।,আর তোমার সেই ভুবনমোহন পূর্ণযৌবনের রূপ $রজনীর$ অন্ধকারপটের $উপরে$ জাজ্বল্যমান $হইয়া$ $ফুটিয়া$ $উঠিয়াছে$।,True
4287,তবু কিভাবে কিভাবে যেন এই মহান ঝড়কে অনুভব করলাম আমার সম্পূর্ণ সত্তা দিয়ে।,তবু $কিভাবে$ $কিভাবে$ যেন এই মহান ঝড়কে অনুভব করলাম আমার সম্পূর্ণ সত্তা দিয়ে।,True
4299,কেউ যদি বলে দিত তবে হয়ত জবটা হয়ে যেত।,কেউ যদি বলে দিত তবে $হয়ত$ জবটা হয়ে যেত।,True
4302,"যখন নিরন্তর অভ্যাসের দ্বারা আমরা এই বিবেকজ্ঞান লাভ $করিব$, তখনই অজ্ঞান $চলিয়া যাইবে$।","যখন নিরন্তর অভ্যাসের দ্বারা আমরা এই বিবেকজ্ঞান লাভ $করিব$, তখনই অজ্ঞান $চলিয়া$ $যাইবে$।",True
4309,শম্ভল : - শব্দটি সংস্কৃত ভাষা$$,শম্ভল $: -$ শব্দটি সংস্কৃত ভাষা$$,True
4321,"$তেমনই, কেউ ধনী, তাই তেলবাজি বা খাতির কিংবা কেউ গরিব,$ তাই $আল্লাদ$ দেখাতে তার অপরাধকে উপেক্ষা করা ইত্যাদি বিষয়ও যেন বিচারে প্রভাব না ফেলে।","তেমনই, কেউ ধনী, তাই তেলবাজি বা খাতির কিংবা কেউ গরিব$,$ তাই $আল্লাদ$ দেখাতে তার অপরাধকে উপেক্ষা করা ইত্যাদি বিষয়ও যেন বিচারে প্রভাব না ফেলে।",True
4330,"$ওওও$ ভুলে গেছি$,$ কালতো শুক্রবার।","$ওওও$ ভুলে গেছি$,$ $কালতো$ শুক্রবার।",True
4368,$.$হঠাৎ একদিন ইভানের এক্স গার্লফ্রেন্ড ফোন $করলো$$!$,$.$হঠাৎ একদিন ইভানের $এক্স গার্লফ্রেন্ড$ ফোন $করলো$$!$,True
4376,সবাই সবার পোস্টে মন্তব্য চায়$$ কিন্তু$$ অনেকে পায়$$ অনেকে পায় না।,সবাই সবার পোস্টে মন্তব্য চায়$$ কিন্তু অনেকে পায়$$ অনেকে পায় না।,True
4407,আচ্ছা $শবেবরাত$ $কি$ চোখে দেখা যায়$$,আচ্ছা $শবেবরাত$ কি চোখে দেখা যায়$$,True
4408,আচ্ছা $শবেবরাত$ কি চোখে দেখা যায়$$,আচ্ছা $শবেবরাত$ $কি$ চোখে দেখা যায়$$,True
4411,এমত অবস্থায় বিপুল জনগোষ্ঠীর (আমাদের $সবচে$ খারাপ অবস্থা বিবেচনা করে প্রস্তুতি নিতে হবে) রোগ নিরীক্ষা এবং সেবাদান $( সেচ্ছাসেবেক$ ছাড়া সম্ভব নয়) সরকার $কিভাবে$ নিয়ন্ত্রণ করবে এমন $কোন$ দিক নির্দেশনা আমরা জানতে পারি নাই।,$এমত$ অবস্থায় বিপুল জনগোষ্ঠীর (আমাদের $সবচে$ খারাপ অবস্থা বিবেচনা করে প্রস্তুতি নিতে হবে) রোগ নিরীক্ষা এবং সেবাদান $($ $সেচ্ছাসেবেক$ ছাড়া সম্ভব নয়) সরকার $কিভাবে$ নিয়ন্ত্রণ করবে এমন $কোন$ দিক নির্দেশনা আমরা জানতে পারি নাই।,True
4423,আর তুমি $দূর্ভাগ্যের$ দুনিয়ায় গিয়ে সেটা আনার প্ল্যান করছো?,আর তুমি $দূর্ভাগ্যের$ দুনিয়ায় গিয়ে সেটা আনার প্ল্যান $করছো$?,True
4440,"$সৌদী আরবের$ $দক্ষীনাঞ্চলের$ আবহা, আরব পর্যটন নগরী খ্যাত এই শহরেই $সৌদী আরবের$ সর্বোচ্চ পাহাড় সুদা।","$সৌদী আরবের$ $দক্ষীনাঞ্চলের$ $আবহা$, আরব পর্যটন নগরী খ্যাত এই শহরেই $সৌদী আরবের$ সর্বোচ্চ পাহাড় সুদা।",True
4451,"তিনি মেরাকে জিজ্ঞেস করেন, ""তুমি কোথায় ছিলে?""","তিনি মেরাকে জিজ্ঞেস করেন, ""তুমি কোথায় $ছিলে$?""",True
4459,কি যেনো কোন অজানা বিরহে বিবাগী প্রেমিক পাখির হাহাকার।,$কি$ $যেনো$ $কোন$ অজানা বিরহে বিবাগী প্রেমিক পাখির হাহাকার।,True
4471,"যতই বয়োবৃদ্ধি $হইতেছে$, ততই এই প্রাচীন প্রথাগুলি আমার $ভাল বলিয়া$ বোধ $হইতেছে$।","যতই বয়োবৃদ্ধি $হইতেছে$, ততই এই প্রাচীন প্রথাগুলি আমার $ভাল$ $বলিয়া$ বোধ $হইতেছে$।",True
4473,হঠাৎ মনে $হইল$$$ এতদিন $তাহার$ বুকের উপর একটা দুঃস্বপ্ন $চাপিয়া$ ছিল।,হঠাৎ মনে $হইল$ এতদিন $তাহার$ বুকের উপর একটা দুঃস্বপ্ন $চাপিয়া$ ছিল।,True
4475,তার ছোট ভাই মে মাসে মৃত্যুবরণ করে।,তার $ছোট$ ভাই মে মাসে মৃত্যুবরণ করে।,True
4491,"এত মোটা বই, ছোট ছোট ফন্টে লেখা কিন্তু আমার পড়তে একটুও বিরক্ত $লাগে নি$।","এত মোটা বই, $ছোট$ $ছোট$ ফন্টে লেখা কিন্তু আমার পড়তে একটুও বিরক্ত $লাগে নি$।",True
4497,এভাবে পালাক্রমে ক্ষমতার $রতবদল$হয়ে আসছে যে ভাবে ঠিক সে ভাবেই$$$রতবদল$ হবে।,এভাবে পালাক্রমে ক্ষমতার $রতবদল$হয়ে আসছে যে ভাবে ঠিক সে ভাবেই$রতবদল$ হবে।,True
4506,জৈনধর্মের প্রবর্তক মহাবীরও $গোমাংস$ $ভক্ষণ করতেন$।,জৈনধর্মের প্রবর্তক মহাবীরও $গোমাংস$ $ভক্ষণ$ করতেন।,True
4511,হীরার মত চকচকে সাদা $চুলতোমার$$$ গালভরা দাড়ি$$ মাথার উপর বাঁধা ছিলো আরবের পাগড়ি$$ সেদিন তোমার চোখজুড়ে $ছিলো$ সৌখিনতার চশমা।,হীরার $মত$ চকচকে সাদা $চুলতোমার$$$ গালভরা দাড়ি$$ মাথার উপর বাঁধা ছিলো আরবের পাগড়ি$$ সেদিন তোমার চোখজুড়ে $ছিলো$ সৌখিনতার চশমা।,True
4512,বর্তমানে মাতালা একটি $ছোট$ গ্রাম যেখানে প্রধানত পর্যটনের সাথে জড়িত।,বর্তমানে মাতালা একটি $ছোট$ গ্রাম $যেখানে$ প্রধানত পর্যটনের সাথে জড়িত।,True
4513,কিন্তু আমি আমার জোর করে একটি রোগীকে নামিয়ে দিতে পারি না।,কিন্তু আমি $আমার$ জোর করে একটি রোগীকে নামিয়ে দিতে পারি না।,True
4529,মানিকগঞ্জ থেকে প্রতিদিন ছেলে$$কে নিয়ে আসে $রাইফেলস  স্কুলে পড়াবে বলে।,মানিকগঞ্জ থেকে প্রতিদিন ছেলেকে নিয়ে আসে রাইফেলস  স্কুলে পড়াবে বলে।,True
4544,সেদিন আবহাওয়াটাও আমাদের মতো আনাড়িদের ট্র্যেকিংয়ের পক্ষে যথেষ্ট অনুকূলে ছিল।,সেদিন আবহাওয়াটাও আমাদের মতো আনাড়িদের $ট্র্যেকিংয়ের$ পক্ষে যথেষ্ট অনুকূলে ছিল।,True
4548,তোমার তো শুধু ভাইয়া ভাবি আর তাদের স্বপ্ন মনে আছে।,তোমার তো শুধু $ভাইয়া ভাবি$ আর তাদের স্বপ্ন মনে আছে।,True
4552,এসব কী তোর কাছে নতুন$।,এসব $কী$ তোর কাছে নতুন$।$,True
4557,মিস্টিরিওকে আমরা $ভুলব$ না$!$,মিস্টিরিওকে আমরা $ভুলব$ না!,True
4562,বিংশশতাব্দীতে এসে হ্যারি পটারকে আরব্যোপন্যাসের জেরক্স কপি বলতে পারি।,$বিংশশতাব্দীতে$ এসে হ্যারি পটারকে আরব্যোপন্যাসের জেরক্স কপি বলতে পারি।,True
4567,একই লেখা বার বার পোস্ট দেওয়া যাবে$$না।,একই লেখা বার বার পোস্ট দেওয়া $যাবেনা$।,True
4570,$শুনিয়া এই$ বালকের মতো চেহারা$$$$ যুবকের প্রতি বরদাসুন্দরীর শ্রদ্ধা $হইল$।,$শুনিয়া$ এই বালকের মতো চেহারা যুবকের প্রতি $বরদাসুন্দরীর$ শ্রদ্ধা $হইল$।,True
4580,আর $তারই জেরেই$ $ঘন্টাকয়েক$ পর স্থানীয় দুর্গা মন্দিরে একদল $দুষ্কৃত$ হামলা চালায় বলে অভিযোগ করা হচ্ছে।,আর তারই $জেরেই$ $ঘন্টাকয়েক$ পর স্থানীয় $দুর্গা মন্দিরে$ একদল $দুষ্কৃত$ হামলা চালায় বলে অভিযোগ করা হচ্ছে।,True
4581,তুমি ইমু অন করো$$ আমি ভিডিও কলে তোমাকে এখন $অফিসে$$দেখবো$।,তুমি $ইমু$ অন করো$$ আমি ভিডিও কলে তোমাকে এখন $অফিসে$$দেখবো$।,True
4586,স্টিং নামটি মূলত আসে দীর্ঘ সময় ধরে যে কাল ও হলুদ রং$$এর সুয়েটারের নাম থেকে।,স্টিং নামটি মূলত আসে দীর্ঘ সময় ধরে যে $কাল$ ও হলুদ রং$$এর $সুয়েটারের$ নাম থেকে।,True
4597,এটা আমদের জন্য!,এটা $আমদের$ জন্য!,True
4611,"সুতরাং বলা যায়, ভাস্কর্য জীবের হোক বা জীব দেহের কোনও অংশের হোক, তা যদি শিরক বা পূজার উদ্দেশ্যে নির্মিত না হয়, তবে এতে দোষের কিছু নেই।","সুতরাং বলা যায়, ভাস্কর্য জীবের হোক বা $জীব দেহের$ কোনও অংশের হোক, তা যদি শিরক বা পূজার উদ্দেশ্যে নির্মিত না হয়, তবে এতে দোষের কিছু নেই।",True
4618,"লোকটি খুবই কোমল স্বরে $কল$, আমাকে তুমি চিলবে না।","লোকটি খুবই কোমল স্বরে $কল$, আমাকে তুমি $চিলবে$ না।",True
4639,তিন্নির কথা শোনে আমার খুব রাগ হত।,তিন্নির কথা শোনে আমার খুব রাগ $হত$।,True
4649,"আর জীবনের প্রয়োজনে নৌকায় যখন গরীবেরা সমূদ্রপার হয়, তারা হয় অবৈধ অভিবাসী।","আর জীবনের প্রয়োজনে নৌকায় যখন গরীবেরা $সমূদ্রপার$ হয়, তারা হয় অবৈধ অভিবাসী।",True
4658,আর আরেকটা কথা হল ক্ষিপ্রতা।,আর আরেকটা কথা $হল$ ক্ষিপ্রতা।,True
4661,ভবিষ্যতে 'বাংলাদেশ আর্জেন্টিনা সমর্থক দল' বা 'বাংলাদেশ ব্রাজিল সমর্থক দল' নামে কোনো রাজনৈতিক দলের আবির্ভাবের কথা একেবারেই উড়িয়ে দেয়া যায় না।,ভবিষ্যতে 'বাংলাদেশ আর্জেন্টিনা সমর্থক দল' বা 'বাংলাদেশ ব্রাজিল সমর্থক দল' নামে কোনো রাজনৈতিক দলের আবির্ভাবের কথা একেবারেই উড়িয়ে $দেয়া$ যায় না।,True
4699,যদি পারিস পুনরায় তাওবা করে আল্লাহর কাছে মাফ চা।,যদি পারিস পুনরায় $তাওবা$ করে আল্লাহর কাছে মাফ চা।,True
4702,"বাহ, বাবা, ডোমোটা তো দারুণ$।","বাহ, বাবা, $ডোমোটা$ তো দারুণ$।$",True
4705,"দেশের প্রচলিত $গণতান্ত্রীক$ প্রক্রিয়ায় আমাদের $মূদ্রার$ এপিট, ওপিট দেখা হয়ে গেছে।","দেশের প্রচলিত $গণতান্ত্রীক$ প্রক্রিয়ায় আমাদের $মূদ্রার$ $এপিট$, $ওপিট$ দেখা হয়ে গেছে।",True
4712,পার্কের মধ্যে ক্যাম্পিং এবং আগুন অনুমোদিত নয়।,পার্কের মধ্যে ক্যাম্পিং $এবং$ আগুন অনুমোদিত নয়।,True
4717,কি দেখাচ্ছেন $বাল$$...$?,$কি$ দেখাচ্ছেন $বাল$$...$?,True
4725,আপনার তাহলে ধারণা হচ্ছে $কথাগুলি$$ আজগুবি?,আপনার তাহলে ধারণা হচ্ছে $কথাগুলি$ আজগুবি?,True
4743,ভ্যাকেশন মানেই রেট $বেশী$$,ভ্যাকেশন মানেই রেট $বেশী$$$,True
4746,এরপর থেকেই কনজুমার্স ইন্টারন্যাশনাল এ সকল অধিকারকে সনদে অন্তর্ভূক্ত করে।,এরপর থেকেই কনজুমার্স ইন্টারন্যাশনাল এ সকল অধিকারকে সনদে $অন্তর্ভূক্ত$ করে।,True
4752,$কারন টা$ খুব সাধারন$$ $পৃিথবীতে$ তার জন্য করার মত কিছু নাই।,$কারন টা$ খুব সাধারন$$ $পৃিথবীতে$ তার জন্য করার $মত$ কিছু নাই।,True
4754,"হ্যালো, মায়া$।","হ্যালো, মায়া।",True
