sentence,gt
"ওগুলো পড়ে পাঠক আপনাকে মাপবে, বিচার করবে।","ওগুলো পড়ে পাঠক আপনাকে মাপবে, বিচার করবে।"
বিয়ের সিদ্ধান্ত নেয়ার অধিকার তাঁদের নেই।,বিয়ের সিদ্ধান্ত নেয়ার অধিকার তাঁদের নেই।
মনে হচ্ছে তাদেরকে উঠাতে হলে ক্রেন ভাড়া করতে হবে।,মনে হচ্ছে তাদেরকে উঠাতে হলে ক্রেন ভাড়া করতে হবে।
গেল মাসে সুতপা জাতীয় পুরস্কার পেয়েছে।,গেল মাসে সুতপা জাতীয় পুরস্কার পেয়েছে।
ওর গার্লফ্রেন্ড নিয়ে প্যানপ্যানানির চেয়ে বালু দিয়ে সাইকেল টানা সহজ।,ওর গার্লফ্রেন্ড নিয়ে প্যানপ্যানানির চেয়ে বালু দিয়ে সাইকেল টানা সহজ।
আমার মনের রং কি আপনার মনে ছায়াপাত করে?,আমার মনের রং কি আপনার মনে ছায়াপাত করে?
আমিও বসে রইলাম স্তব্ধ হয়ে।,আমিও বসে রইলাম স্তব্ধ হয়ে।
দুজনে মিলে উঠে গেলাম দোতলায়।,দুজনে মিলে উঠে গেলাম দোতলায়।
এই রাসায়নিক আক্রমণে ৮০ জনের অধিক সিরিয়ান নাগরিক মারা যান।,এই রাসায়নিক আক্রমণে ৮০ জনের অধিক সিরিয়ান নাগরিক মারা যান।
চোখ এবং মন দুটোই আবদ্ধ প্রিন্সেস আনিকায়।,চোখ এবং মন দুটোই আবদ্ধ প্রিন্সেস আনিকায়।
এইরকম শরীরলোভীদের হাত থেকে তোমাকে বাঁচতে হবে।,এইরকম শরীরলোভীদের হাত থেকে তোমাকে বাঁচতে হবে।
"এ সময় কেবল ঝরাই নয়, রসও বিস্বাদ এবং টক হয়ে আসে। ","এ সময় কেবল ঝরাই নয়, রসও বিস্বাদ এবং টক হয়ে আসে। "
তিনি মোহাম্মদ সিরাজ উদ্দীনের দিকে পূর্ণাংগ দৃষ্টিতে তাকান।,তিনি মোহাম্মদ সিরাজ উদ্দীনের দিকে পূর্ণাংগ দৃষ্টিতে তাকান।
কবিতাটি পঁচিশ লাইনের মধ্যে হলে ৫০০টাকা এবং পঁচিশ লাইনের বেশি হলে ১০০০টাকা জমা দিতে হবে।,কবিতাটি পঁচিশ লাইনের মধ্যে হলে ৫০০টাকা এবং পঁচিশ লাইনের বেশি হলে ১০০০টাকা জমা দিতে হবে।
অনেক সময় অনেক মানুষ মাছ মেপে কাটতে বলে যায়।,অনেক সময় অনেক মানুষ মাছ মেপে কাটতে বলে যায়।
নারীর প্রতি বৈষম্য নিরসনে সবাইকে একসঙ্গে কাজ করতে হবে।,নারীর প্রতি বৈষম্য নিরসনে সবাইকে একসঙ্গে কাজ করতে হবে।
ওই বছরই কবি ঢাকা বিশ্ববিদ্যালয়ের বাংলা বিভাগে ভর্তি হন।,ওই বছরই কবি ঢাকা বিশ্ববিদ্যালয়ের বাংলা বিভাগে ভর্তি হন।
একজন ভাল শিক্ষক একজন মনযোগী ছাত্রকে খুব সহজেই চিনতে পারে।,একজন ভাল শিক্ষক একজন মনযোগী ছাত্রকে খুব সহজেই চিনতে পারে।
ভয়ংকর ঐ অপরাধীদল তোমাদের দেশের একদল সন্ত্রাসীদের সাথে এই একটু আগে মিশে গিয়েছে।,ভয়ংকর ঐ অপরাধীদল তোমাদের দেশের একদল সন্ত্রাসীদের সাথে এই একটু আগে মিশে গিয়েছে।
কোনো এক অজানা কারণে আমাকে খানিকটা ভয় পায় সে।,কোনো এক অজানা কারণে আমাকে খানিকটা ভয় পায় সে।
প্রতিটি মুহূর্ত অনিশ্চিত আর অদ্ভুত।,প্রতিটি মুহূর্ত অনিশ্চিত আর অদ্ভুত।
প্রশ্ন হচ্ছে কতটা উচ্চাভিলাষী হওয়া বাস্তবসম্মত!,প্রশ্ন হচ্ছে কতটা উচ্চাভিলাষী হওয়া বাস্তবসম্মত!
এ পর্যন্ত প্রায় ৯৯% প্রজাতির বিলুপ্তি ঘটেছে।,এ পর্যন্ত প্রায় ৯৯% প্রজাতির বিলুপ্তি ঘটেছে।
এ সময় গোর্কি জারের শোষণ আর অত্যচারের বিরুদ্ধে যুক্ত হন বিপ্লবী দলের সঙ্গে।,এ সময় গোর্কি জারের শোষণ আর অত্যচারের বিরুদ্ধে যুক্ত হন বিপ্লবী দলের সঙ্গে।
নিখোঁজ এবং আহত হয় আরও কয়েক লাখ মানুষ।,নিখোঁজ এবং আহত হয় আরও কয়েক লাখ মানুষ।
কিছু মহান স্বামী স্ত্রীদের হাতে টাকা দেন বটে।,কিছু মহান স্বামী স্ত্রীদের হাতে টাকা দেন বটে।
মনে করো তার নাম নরেশ।,মনে করো তার নাম নরেশ।
এতে করে ভবিষ্যতে আমাদের উপর কি ধরণের ইমপ্যাক্ট পড়বে সেটাও অনিশ্চিত।,এতে করে ভবিষ্যতে আমাদের উপর কি ধরণের ইমপ্যাক্ট পড়বে সেটাও অনিশ্চিত।
তাঁর অক্লান্ত পরিশ্রমের ফলেই প্রতিষ্ঠিত হয় ইসলামিয়া কলেজ।,তাঁর অক্লান্ত পরিশ্রমের ফলেই প্রতিষ্ঠিত হয় ইসলামিয়া কলেজ।
সে পরিবেশ বান্ধব ও ন্যাচারাল ইনগ্রিডিয়েন্ট নিয়ে নাতিদীর্ঘ বক্তৃতা দিলো।,সে পরিবেশ বান্ধব ও ন্যাচারাল ইনগ্রিডিয়েন্ট নিয়ে নাতিদীর্ঘ বক্তৃতা দিলো।
সরিতশেখর চাচ্ছেন ১৫ই আগস্ট উনার ফেয়ারওয়েল হোক।,সরিতশেখর চাচ্ছেন ১৫ই আগস্ট উনার ফেয়ারওয়েল হোক।
তাই তার নামটা উহ্য রইল।,তাই তার নামটা উহ্য রইল।
ওখানেই আমরা প্রায়ই দেখা করতাম।,ওখানেই আমরা প্রায়ই দেখা করতাম।
জীবন তার নিজের পছন্দেই চলে।,জীবন তার নিজের পছন্দেই চলে।
কেননা ৪৮ ঘণ্টা পার হয়ে গেলে ফর্মুলা দুধে ব্যাকটেরিয়া ছড়াতে শুরু করে।,কেননা ৪৮ ঘণ্টা পার হয়ে গেলে ফর্মুলা দুধে ব্যাকটেরিয়া ছড়াতে শুরু করে।
ফিরে এসে আবার বসেছি বিশাল করিডরে রাখা বেঞ্চটায়।,ফিরে এসে আবার বসেছি বিশাল করিডরে রাখা বেঞ্চটায়।
থাকলে বরং আরও খারাপ কিছু ঘটে।,থাকলে বরং আরও খারাপ কিছু ঘটে।
স্কুলে কি এখন সে বিদ্যাসাগরের আদর্শলিপি শিক্ষা দেয়া হয়?,স্কুলে কি এখন সে বিদ্যাসাগরের আদর্শলিপি শিক্ষা দেয়া হয়?
"(ফারাক্কারও একই সমস্যা, ফলে বিহার ফারাক্কার গেইট ওপেন রাখতে চাইছে)।","(ফারাক্কারও একই সমস্যা, ফলে বিহার ফারাক্কার গেইট ওপেন রাখতে চাইছে)।"
বিশ্বব্যাংকের অর্থায়নে ২০০০ সালের দিকে ঢাকা আরবান ট্রান্সপোর্ট প্রকল্পের আওতায় ৭০টি জায়গায় আধুনিক ট্রাফিক সিগন্যাল বাতি বসানোর কাজ শুরু হয়।,বিশ্বব্যাংকের অর্থায়নে ২০০০ সালের দিকে ঢাকা আরবান ট্রান্সপোর্ট প্রকল্পের আওতায় ৭০টি জায়গায় আধুনিক ট্রাফিক সিগন্যাল বাতি বসানোর কাজ শুরু হয়।
তোমার মতো ভালো আমি দ্বিতীয় কাউকে বাসিনি।,তোমার মতো ভালো আমি দ্বিতীয় কাউকে বাসিনি।
এসব বলার উদ্দেশ্য ছিল তাদের থেকে কেটে পড়া।,এসব বলার উদ্দেশ্য ছিল তাদের থেকে কেটে পড়া।
এশিয়া কাপের ফাইনালের মতো একটা বড় ম্যাচে তো কোনোভাবেই নেই।,এশিয়া কাপের ফাইনালের মতো একটা বড় ম্যাচে তো কোনোভাবেই নেই।
এমন জায়গায় এসব হাস্যকর শোনায়।,এমন জায়গায় এসব হাস্যকর শোনায়।
"দেখার চেষ্টা করি মানুষের জীবনযাত্রা, তাদের বেঁচে থাকার সংগ্রাম।","দেখার চেষ্টা করি মানুষের জীবনযাত্রা, তাদের বেঁচে থাকার সংগ্রাম।"
মৃত্যুবার্ষিকীতে চারণ কবি মুকুন্দ দাসের প্রতি আমাদের শ্রদ্ধাঞ্জলি।,মৃত্যুবার্ষিকীতে চারণ কবি মুকুন্দ দাসের প্রতি আমাদের শ্রদ্ধাঞ্জলি।
এবং তাঁর গ্রামকে উন্নত করার উদ্যোগ সর্ব মহলে প্রসংসিত।,এবং তাঁর গ্রামকে উন্নত করার উদ্যোগ সর্ব মহলে প্রসংসিত।
নির্যাতনের নানারূপ পদ্ধতি পরীক্ষা করে দেখছেন।,নির্যাতনের নানারূপ পদ্ধতি পরীক্ষা করে দেখছেন।
একটা শিশু এইভাবেই বড় হয়।,একটা শিশু এইভাবেই বড় হয়।
তাতেও কাজ না হলে সরাসরি মুখে বলুন।,তাতেও কাজ না হলে সরাসরি মুখে বলুন।
অনেকদিন আমাদের বাসায় যাও না।,অনেকদিন আমাদের বাসায় যাও না।
শেষ পর্যন্ত ১৯৬৬ সালে লাল বাহাদুর শাস্ত্রীর উত্তরাধিকারী হিসেবে ভারতের প্রধানমন্ত্রী হন।,শেষ পর্যন্ত ১৯৬৬ সালে লাল বাহাদুর শাস্ত্রীর উত্তরাধিকারী হিসেবে ভারতের প্রধানমন্ত্রী হন।
প্রায় প্রতিবারই সায়ান নেমপ্লেটে তার নামটা দেখার চেষ্টা করছিলো।,প্রায় প্রতিবারই সায়ান নেমপ্লেটে তার নামটা দেখার চেষ্টা করছিলো।
তার কারণে কোয়ান্টাম মেথড যে কোয়ান্টাম মেকানিক্সের অংশ নয় সেটা মানুষকে বুঝানো মুশকিল হয়ে যায়।,তার কারণে কোয়ান্টাম মেথড যে কোয়ান্টাম মেকানিক্সের অংশ নয় সেটা মানুষকে বুঝানো মুশকিল হয়ে যায়।
থাকলে নির্ঘাত গলায় পেঁচিয়ে জ্যৈষ্ঠের কাঠফাটা দুপুরে ঠোঁটের কোণে একটা অপার্থিব শান্তি ফুটিয়ে বসে থাকতেন।,থাকলে নির্ঘাত গলায় পেঁচিয়ে জ্যৈষ্ঠের কাঠফাটা দুপুরে ঠোঁটের কোণে একটা অপার্থিব শান্তি ফুটিয়ে বসে থাকতেন।
"ব্রিটেনের লন্ডনে বিনিয়োগ বিরোধ নিষ্পত্তিসংক্রান্ত আন্তর্জাতিক সালিসি আদালত (ইকসিড) এমন রায় দিয়েছেন বলে জানিয়েছেন বিদ্যুৎ, জ্বালানি ও খনিজ সম্পদ প্রতিমন্ত্রী নসরুল হামিদ।","ব্রিটেনের লন্ডনে বিনিয়োগ বিরোধ নিষ্পত্তিসংক্রান্ত আন্তর্জাতিক সালিসি আদালত (ইকসিড) এমন রায় দিয়েছেন বলে জানিয়েছেন বিদ্যুৎ, জ্বালানি ও খনিজ সম্পদ প্রতিমন্ত্রী নসরুল হামিদ।"
কিন্তু বিদেশেই তো পড়ে আছি।,কিন্তু বিদেশেই তো পড়ে আছি।
"মনে রাখতে হবে, বিসর্গ একটি অক্ষর, ফলে আমরা যেখানে ‘বিসর্গ’ ব্যবহার করি সেটি আসলে বিসর্গ না হয়ে ‘কোলন’ হবে।","মনে রাখতে হবে, বিসর্গ একটি অক্ষর, ফলে আমরা যেখানে ‘বিসর্গ’ ব্যবহার করি সেটি আসলে বিসর্গ না হয়ে ‘কোলন’ হবে।"
অর্থাৎ ধর্ম মানব চিত্তের স্বাধীনতা দেওয়ার মতো উদার নয়।,অর্থাৎ ধর্ম মানব চিত্তের স্বাধীনতা দেওয়ার মতো উদার নয়।
বাসায় ফেরার জন্য রিকশা নিল।,বাসায় ফেরার জন্য রিকশা নিল।
সে হাঁটতে হাঁটতে জারুলতলায় এসে দাঁড়ালো।,সে হাঁটতে হাঁটতে জারুলতলায় এসে দাঁড়ালো।
তবে ফেইসবুকের কল্যাণে যোগাযোগ করাটা সহজ হওয়ায় আমি অনেক খুশি।,তবে ফেইসবুকের কল্যাণে যোগাযোগ করাটা সহজ হওয়ায় আমি অনেক খুশি।
আর ফ্রন্ট ক্যামেরায় তোলা যাবে চমৎকার ডিটেইলসের সেলফি।,আর ফ্রন্ট ক্যামেরায় তোলা যাবে চমৎকার ডিটেইলসের সেলফি।
"এদেশের কথাসাহিত্যে মাটি ও মানুষের কথা সরলভাবে সঞ্চার করে তিনি স্মরণীয় হয়ে আছেন, থাকবেন শতবর্ষ পেরিয়েও।","এদেশের কথাসাহিত্যে মাটি ও মানুষের কথা সরলভাবে সঞ্চার করে তিনি স্মরণীয় হয়ে আছেন, থাকবেন শতবর্ষ পেরিয়েও।"
"ততক্ষণ পর্যন্ত আমাদের কোনো প্রাপ্তি নেই, যতক্ষণ ভ্রমণক্লান্ত নিগ্রোরা শহরের হোটেল বা মোটেলে বিশ্রামের অধিকার পাবে। ","ততক্ষণ পর্যন্ত আমাদের কোনো প্রাপ্তি নেই, যতক্ষণ ভ্রমণক্লান্ত নিগ্রোরা শহরের হোটেল বা মোটেলে বিশ্রামের অধিকার পাবে। "
কিন্তু ঐ লোকটা আপনার যথাযথ সম্মান করেনি।,কিন্তু ঐ লোকটা আপনার যথাযথ সম্মান করেনি।
এই মহামারী মানুষকে সংঘবদ্ধ করুক।,এই মহামারী মানুষকে সংঘবদ্ধ করুক।
অট্টরোলের হট্টগোলে স্তব্ধ চরাচর– ওরে ঐ স্তব্ধ চরাচর!,অট্টরোলের হট্টগোলে স্তব্ধ চরাচর– ওরে ঐ স্তব্ধ চরাচর!
মাস তিনেক আগেই তো ব্যাংকে লাখ টাকা ফিক্সড ডিপোজিট করেছি।,মাস তিনেক আগেই তো ব্যাংকে লাখ টাকা ফিক্সড ডিপোজিট করেছি।
হিমুকে চেনার বিশেষ উপায় আছে।,হিমুকে চেনার বিশেষ উপায় আছে।
এবং আমি বেশ কয়েকবার চেষ্টা করেও নেট কানেক্ট করতে পারছি না।,এবং আমি বেশ কয়েকবার চেষ্টা করেও নেট কানেক্ট করতে পারছি না।
এরপর ফুলনের সঙ্গে বিক্রমের বিয়ে হয় এবং শুরু হয় ফুলনের নতুন জীবন।,এরপর ফুলনের সঙ্গে বিক্রমের বিয়ে হয় এবং শুরু হয় ফুলনের নতুন জীবন।
এখন তাদের রাষ্ট্রীয় স্বীকৃতির প্রয়োজন রয়েছে।,এখন তাদের রাষ্ট্রীয় স্বীকৃতির প্রয়োজন রয়েছে।
"বলতে ইচ্ছে করে, আপনার প্রতি আমার আবেগ সমুদ্রের সবচেয়ে উঁচু ঢেউকে হার মানায়।","বলতে ইচ্ছে করে, আপনার প্রতি আমার আবেগ সমুদ্রের সবচেয়ে উঁচু ঢেউকে হার মানায়।"
অথচ ওই সহযোগীরাই এক সময় তাদের অবদানকে ক্রমশ অবমূল্যায়নের দিকে ঠেলে নিয়ে গেছে।,অথচ ওই সহযোগীরাই এক সময় তাদের অবদানকে ক্রমশ অবমূল্যায়নের দিকে ঠেলে নিয়ে গেছে।
ওকে যদি আদি বুঝিয়ে বলে তাহলে কি আর আরিশ একটু ওর জন্য অপেক্ষা করতে পারবে না?,ওকে যদি আদি বুঝিয়ে বলে তাহলে কি আর আরিশ একটু ওর জন্য অপেক্ষা করতে পারবে না?
একটা পেরেক ছুটে যায় আমাদের গোল ঘরের কোণার টিনের।,একটা পেরেক ছুটে যায় আমাদের গোল ঘরের কোণার টিনের।
এরপর আর তাকে পেছনে তাকাতে হয়নি।,এরপর আর তাকে পেছনে তাকাতে হয়নি।
"১৮১৯ সালের ৩১ মে, লং আইল্যান্ডের টাউন অফ হান্টিংটনের অন্তঃপাতী ওয়েস্ট হিলসে ওয়াল্ট হুইটম্যান জন্মগ্রহণ করেন।","১৮১৯ সালের ৩১ মে, লং আইল্যান্ডের টাউন অফ হান্টিংটনের অন্তঃপাতী ওয়েস্ট হিলসে ওয়াল্ট হুইটম্যান জন্মগ্রহণ করেন।"
আর মানুষ ছাড়া মানুষকে কেউ ভালোবাসতে পারে না।,আর মানুষ ছাড়া মানুষকে কেউ ভালোবাসতে পারে না।
একটা বাসায় আমি আর মা একা থাকতাম।,একটা বাসায় আমি আর মা একা থাকতাম।
পশ্চিম ইউরোপ চলে গিয়েছিল যাযাবর টিউটন জাতিগুলোর হাতে।,পশ্চিম ইউরোপ চলে গিয়েছিল যাযাবর টিউটন জাতিগুলোর হাতে।
নির্দিষ্ট সময়ের প্রায় এক ঘণ্টা আগে অফিসে পৌঁছানো তার বহু পুরাতন অভ্যাস।,নির্দিষ্ট সময়ের প্রায় এক ঘণ্টা আগে অফিসে পৌঁছানো তার বহু পুরাতন অভ্যাস।
বাতাস বা ঝড় এসেও ভূতের শরীরটাকে নষ্ট করতেই পারে না।,বাতাস বা ঝড় এসেও ভূতের শরীরটাকে নষ্ট করতেই পারে না।
আজ কদিন হলো শাহিন তাকে নিয়ে এসেছে শাহিনের ভাড়া বাড়িতে।,আজ কদিন হলো শাহিন তাকে নিয়ে এসেছে শাহিনের ভাড়া বাড়িতে।
এখন তাদেরকে জেলহাজতে কে নেবে?,এখন তাদেরকে জেলহাজতে কে নেবে?
সে থেকেই বাংলা একাডেমিতে বইমেলার সূচনা।,সে থেকেই বাংলা একাডেমিতে বইমেলার সূচনা।
আমার নিচের সিটে যারা ছিলেন তাদের মধ্য হতে একজন রাতে অন্য জায়গায় গিয়ে ঘুমিয়েছিলেন।,আমার নিচের সিটে যারা ছিলেন তাদের মধ্য হতে একজন রাতে অন্য জায়গায় গিয়ে ঘুমিয়েছিলেন।
বছর হিসেবে পেমেন্ট করা হলে ২০২০ সালের ০৩ জুলাই আবার সমস্যা দেখা দেবে।,বছর হিসেবে পেমেন্ট করা হলে ২০২০ সালের ০৩ জুলাই আবার সমস্যা দেখা দেবে।
দীর্ঘ দিন পরে হলেও অবশেষে মিয়ানমার সরকার নিজেদের অপরাধী হিসেবে স্বীকার করে নিল।,দীর্ঘ দিন পরে হলেও অবশেষে মিয়ানমার সরকার নিজেদের অপরাধী হিসেবে স্বীকার করে নিল।
"এছাড়াও অনর্থক কাজে সময় নষ্ট হওয়া, ইবাদাতে মনোযোগ কমে যাওয়া, গুনাহর প্রতি আগ্রহ তৈরি হওয়া, আল্লাহর স্মরণ কমে যাওয়া, কুরআনের প্রতি আকর্ষণ কমে যাওয়া ইত্যাদি অপকার রয়েছে।","এছাড়াও অনর্থক কাজে সময় নষ্ট হওয়া, ইবাদাতে মনোযোগ কমে যাওয়া, গুনাহর প্রতি আগ্রহ তৈরি হওয়া, আল্লাহর স্মরণ কমে যাওয়া, কুরআনের প্রতি আকর্ষণ কমে যাওয়া ইত্যাদি অপকার রয়েছে।"
এছাড়াও তিনি কাগমারিতে মাওলানা মোহাম্মদ আলী কলেজ এবং পঞ্চবিবিতে নজরুল ইসলাম কলেজ প্রতিষ্ঠা করেন।,এছাড়াও তিনি কাগমারিতে মাওলানা মোহাম্মদ আলী কলেজ এবং পঞ্চবিবিতে নজরুল ইসলাম কলেজ প্রতিষ্ঠা করেন।
কেন বিমানের লসের পরও মেননের মন্ত্রীত্ব ঠিক থাকে?,কেন বিমানের লসের পরও মেননের মন্ত্রীত্ব ঠিক থাকে?
শামা নাদেরের চোখে চোখ রাখে।,শামা নাদেরের চোখে চোখ রাখে।
শেষ যাত্রায় শিল্পীর সঙ্গী হয়েছেন তাঁর অসংখ্য অনুরাগী।,শেষ যাত্রায় শিল্পীর সঙ্গী হয়েছেন তাঁর অসংখ্য অনুরাগী।
"আপনি নেই, আপনার টাইমলাইনে শেয়ার হচ্ছে!","আপনি নেই, আপনার টাইমলাইনে শেয়ার হচ্ছে!"
পারস্য অভিযানে তৃতীয় যুদ্ধ সংঘটিত হয় ওয়ালাজা নামক স্থানে এবং এই যুদ্ধে শত্রুপক্ষের জেনারেল ছিলেন আন্দারজাঘর।,পারস্য অভিযানে তৃতীয় যুদ্ধ সংঘটিত হয় ওয়ালাজা নামক স্থানে এবং এই যুদ্ধে শত্রুপক্ষের জেনারেল ছিলেন আন্দারজাঘর।
যা আছে তা আলু সংরক্ষনের জন্যে।,যা আছে তা আলু সংরক্ষনের জন্যে।
ওটা পাখিরা পছন্দ করে না।,ওটা পাখিরা পছন্দ করে না।
বদি তার পিএস রতনকে জিজ্ঞেস করেছিল।,বদি তার পিএস রতনকে জিজ্ঞেস করেছিল।
"বাড়তি ব্যয়ের মধ্যে রাখুন জামাকাপড় কেনা, বিনোদন, চিকিৎসা ব্যয়, রেস্টুরেন্টে খাবার খরচ ইত্যাদি।","বাড়তি ব্যয়ের মধ্যে রাখুন জামাকাপড় কেনা, বিনোদন, চিকিৎসা ব্যয়, রেস্টুরেন্টে খাবার খরচ ইত্যাদি।"
এই মহিলাটির বিষয়টি তার চেয়ে ও ভিন্ন।,এই মহিলাটির বিষয়টি তার চেয়ে ও ভিন্ন।
"বিশ্বস্ত লোকটি আমার শ্রদ্ধেয়, বয়োবৃদ্ধ, ঈমানদার; ফরিদপুরের একটা আড়তের হিসাব দেখেন।","বিশ্বস্ত লোকটি আমার শ্রদ্ধেয়, বয়োবৃদ্ধ, ঈমানদার; ফরিদপুরের একটা আড়তের হিসাব দেখেন।"
"দেশকে নিয়ে হতাশা প্রকাশ করে, রাজনীতিবিদদের গালাগালি করে সময় কাটাই।","দেশকে নিয়ে হতাশা প্রকাশ করে, রাজনীতিবিদদের গালাগালি করে সময় কাটাই।"
তোকে একা রেখেই চলে যেতে হচ্ছে।,তোকে একা রেখেই চলে যেতে হচ্ছে।
এভাবে কখন যে পথটা শেষ হয়ে গেল বুঝতেই পারলাম না।,এভাবে কখন যে পথটা শেষ হয়ে গেল বুঝতেই পারলাম না।
এজন্য এটিকে প্রায়শই নবীর মসজিদ বলা হয়।,এজন্য এটিকে প্রায়শই নবীর মসজিদ বলা হয়।
তার নবীপ্রেম তাদের মধ্যে ইসলামি জীবনব্যবস্থার প্রতি অদম্য প্রেরণা সৃষ্টি করে।,তার নবীপ্রেম তাদের মধ্যে ইসলামি জীবনব্যবস্থার প্রতি অদম্য প্রেরণা সৃষ্টি করে।
এটা আজ শুধু মানুষের বাঁচা মরার ব্যাপার।,এটা আজ শুধু মানুষের বাঁচা মরার ব্যাপার।
কারণ এমন চাঁদা দিতে আমিও বাধ্য ছিলাম।,কারণ এমন চাঁদা দিতে আমিও বাধ্য ছিলাম।
তেমনই রা এক ধরনের বিষের নামই হবে হয়তো।,তেমনই রা এক ধরনের বিষের নামই হবে হয়তো।
"কারণ সেখানে তো কেউ আগে কেউ পরে জন্মাবে না, সবাই ইসরাফিলের বিউগলের সুর শুনে একই সময়ে নতুন জীবন শুরু করবে।","কারণ সেখানে তো কেউ আগে কেউ পরে জন্মাবে না, সবাই ইসরাফিলের বিউগলের সুর শুনে একই সময়ে নতুন জীবন শুরু করবে।"
কিন্তু এই হত্যাকাণ্ডটির বিচার করা যে খুব সহজ নয় সেটিও খুব বোধগম্য।,কিন্তু এই হত্যাকাণ্ডটির বিচার করা যে খুব সহজ নয় সেটিও খুব বোধগম্য।
নীলা মাথা নীচু করে আছে।,নীলা মাথা নীচু করে আছে।
বিশেষ করে শ্রমের মূল্য যেসব দেশে তুলনামূলক কম সেসব দেশে পাশ্চাত্যের দেশগুলো তাদের প্রস্তুতকারক এজেন্ট নিয়োগ দিচ্ছে।,বিশেষ করে শ্রমের মূল্য যেসব দেশে তুলনামূলক কম সেসব দেশে পাশ্চাত্যের দেশগুলো তাদের প্রস্তুতকারক এজেন্ট নিয়োগ দিচ্ছে।
রানা সাহেব ভাবনা থেকে বাস্তবে ফিরে আসেন।,রানা সাহেব ভাবনা থেকে বাস্তবে ফিরে আসেন।
আমি অবাক হয়ে বড় মেয়েটির চোখের দিকে তাকালাম।,আমি অবাক হয়ে বড় মেয়েটির চোখের দিকে তাকালাম।
এটা পৃথিবীর জন্য একটা ক্ষতি।,এটা পৃথিবীর জন্য একটা ক্ষতি।
এই ছোট্ট জীবনে কী দরকার নিজেদের পিছনে শত্রু রাখার?,এই ছোট্ট জীবনে কী দরকার নিজেদের পিছনে শত্রু রাখার?
নৃ আজ সারাদিন বড় জ্বালিয়েছে।,নৃ আজ সারাদিন বড় জ্বালিয়েছে।
"আমি শুধু থিয়েটারে গাড়ি নিয়ে যেতাম, নিজের জন্য একটা টিকেট কিনতাম, সিটে গিয়ে বসতাম এবং অনুষ্ঠানসূচি দেখতাম, এবং তারপর নাটকের ভেতর পুরোপুরি ঢুকে যেতাম।","আমি শুধু থিয়েটারে গাড়ি নিয়ে যেতাম, নিজের জন্য একটা টিকেট কিনতাম, সিটে গিয়ে বসতাম এবং অনুষ্ঠানসূচি দেখতাম, এবং তারপর নাটকের ভেতর পুরোপুরি ঢুকে যেতাম।"
"এ বার চীনেরই এক বিজ্ঞানী দাবি করলেন, করোনা ভাইরাস প্রাকৃতিক নয়।","এ বার চীনেরই এক বিজ্ঞানী দাবি করলেন, করোনা ভাইরাস প্রাকৃতিক নয়।"
সূর্যের লালচে আভাটা এখনও পুরোপুরিভাবে মিলিয়ে যায়নি আকাশের গা থেকে।,সূর্যের লালচে আভাটা এখনও পুরোপুরিভাবে মিলিয়ে যায়নি আকাশের গা থেকে।
তার পাশে এসে মেয়েটা দাঁড়িয়ে পড়ল।,তার পাশে এসে মেয়েটা দাঁড়িয়ে পড়ল।
তার মিষ্টি মিষ্টি কথা এবং অন্যান্য প্রতারকের তুলনায় কম চার্জ দেখে আগুপিছু কিছু না ভেবে তাকে আমার ফাইল প্রসেস করতে দিলাম।,তার মিষ্টি মিষ্টি কথা এবং অন্যান্য প্রতারকের তুলনায় কম চার্জ দেখে আগুপিছু কিছু না ভেবে তাকে আমার ফাইল প্রসেস করতে দিলাম।
বর্তমানে মানুষের বসবাসরত নয়টি গ্রহের ভিতর এটিই সবচেয়ে সুন্দরভাবে গাছপালা আর লেক দিয়ে সাজানো।,বর্তমানে মানুষের বসবাসরত নয়টি গ্রহের ভিতর এটিই সবচেয়ে সুন্দরভাবে গাছপালা আর লেক দিয়ে সাজানো।
ঢাকা বিশ্ববিদ্যালয়ের হলগুলোয় অন্তত ৩০ হাজার শিক্ষার্থী থাকে।,ঢাকা বিশ্ববিদ্যালয়ের হলগুলোয় অন্তত ৩০ হাজার শিক্ষার্থী থাকে।
"ওখানে অনেক দিনের যাওয়ার ইচ্ছে, কিন্তু যাওয়া আর হয়নি।","ওখানে অনেক দিনের যাওয়ার ইচ্ছে, কিন্তু যাওয়া আর হয়নি।"
"অতি বুদ্ধিমান পরিচালনা, মনেই হয়নি কোন সিনেমা দেখছি।","অতি বুদ্ধিমান পরিচালনা, মনেই হয়নি কোন সিনেমা দেখছি।"
"আমি চলে যাওয়ার পরেই সে কয়েনটা তুলে নিবে, নিজেকে বোঝাল ডাঙ্ক।","আমি চলে যাওয়ার পরেই সে কয়েনটা তুলে নিবে, নিজেকে বোঝাল ডাঙ্ক।"
নাগরিক সুবিধার সাথে গ্রাম্য জীবনে অনেক বাড়তি পাওয়া প্রকৃতির সাথে বসবাস।,নাগরিক সুবিধার সাথে গ্রাম্য জীবনে অনেক বাড়তি পাওয়া প্রকৃতির সাথে বসবাস।
নিজের সক্ষমতার ব্যবহার তিনি তাই পূর্ণমাত্রায় করেছেন।,নিজের সক্ষমতার ব্যবহার তিনি তাই পূর্ণমাত্রায় করেছেন।
এসব কথাই আজ সে রাজাকে শোনাবে।,এসব কথাই আজ সে রাজাকে শোনাবে।
